dirname,size,type,family,raw_r,raw_slope,corrected_r,corrected_slope,slope_change
qwen05b_base_v2,0.5,base,Qwen,0.46664975214921894,0.45165959761705693,0.41075310827121075,0.33013394085988695,-0.12152565675716998
qwen05b_instruct_v3,0.5,instruct,Qwen,0.738401570101588,0.7782115058191117,0.7064680415134061,0.6182820957547763,-0.15992941006433536
llama1b_base_v2,1.0,base,Llama,0.6006764898119015,0.4993184830270196,0.5341683920266724,0.3839551000743527,-0.1153633829526669
llama1b_instruct_v3,1.0,instruct,Llama,0.5309804362664987,0.5312885130908132,0.503436654164137,0.4182980620087679,-0.11299045108204525
qwen3b_base_v2,3.0,base,Qwen,0.6687948124858114,0.6435971586654143,0.6448722456104139,0.5153283344427166,-0.1282688242226977
qwen3b_instruct_v3,3.0,instruct,Qwen,0.4411900753226839,0.4400903998522893,0.4360044668121078,0.36115714654812553,-0.07893325330416379
llama3b_base_v2,3.0,base,Llama,0.8001368981927247,1.0633925593708102,0.7719789680436844,0.851969212957108,-0.2114233464137022
llama3b_instruct_v3,3.0,instruct,Llama,0.8457728996545315,1.0923141553392122,0.8067197957658047,0.8651783122892995,-0.22713584304991263
qwen7b_base_v2,7.0,base,Qwen,0.8382449206330734,1.472741753749927,0.8131913789761678,1.1864175132313004,-0.2863242405186266
qwen7b_instruct_v3,7.0,instruct,Qwen,0.8647430930882095,1.6232414352566662,0.8526936552406503,1.329162755846094,-0.2940786794105723
llama8b_base_v2,8.0,base,Llama,0.8806376222366041,1.5274743213443194,0.8571641355095967,1.2346099935493942,-0.2928643277949252
llama8b_instruct_v3,8.0,instruct,Llama,0.9083357006783809,1.7117873157038774,0.8885795031245902,1.3905570945599608,-0.32123022114391664
qwen14b_base_v2,14.0,base,Qwen,0.8475798330680171,1.4765688315993195,0.8347270551523491,1.2075543478830009,-0.26901448371631864
qwen14b_instruct_v3,14.0,instruct,Qwen,0.8430227205395836,1.4770861790097065,0.8331829657314647,1.212260769703136,-0.2648254093065705
