cut,n_subscales,n_pairs,dirname,size,type,family,raw_r,raw_slope,raw_intercept,corrected_r,corrected_slope,corrected_intercept
All 16 subscales,16,112,qwen05b_base_v2,0.5,base,Qwen,0.14214433703362103,0.11764915268629285,0.08260272892486308,0.13783137284259514,0.08109514213987168,0.08227434662507527
All 16 subscales,16,120,qwen05b_instruct_v3,0.5,instruct,Qwen,0.306889434190254,0.29822921023281734,0.07787257389722617,0.26983802750093844,0.18614914059137252,0.07851063975191377
All 16 subscales,16,111,llama1b_base_v2,1.0,base,Llama,0.3784252477650374,0.32955338059601264,0.14586096642563476,0.33703005597488167,0.2065046790082685,0.14716552570615782
All 16 subscales,16,120,llama1b_instruct_v3,1.0,instruct,Llama,0.4931224469289505,0.5154411433227688,0.10182164384079719,0.47711308398913427,0.3540260961552318,0.10081830978621209
All 16 subscales,16,120,qwen3b_base_v2,3.0,base,Qwen,0.5692799307238003,0.6337969315298022,0.08409334663423518,0.5313941805931025,0.4199820149270949,0.08385967687231086
All 16 subscales,16,120,qwen3b_instruct_v3,3.0,instruct,Qwen,0.5548275537732119,0.6138918817563229,0.10171962999485984,0.5427902969133073,0.4263395131484584,0.10021859548521345
All 16 subscales,16,120,llama3b_base_v2,3.0,base,Llama,0.598056422112205,0.6581669380338653,0.05808429260188181,0.5533675606994743,0.4323119501455184,0.05809065892835181
All 16 subscales,16,120,llama3b_instruct_v3,3.0,instruct,Llama,0.6420033448393223,0.754535240750061,0.11323491000225326,0.6022971989577555,0.5025077003023133,0.11279245295226481
All 16 subscales,16,120,qwen7b_base_v2,7.0,base,Qwen,0.7106876534394735,1.0271986596970204,0.1136135810627078,0.6751726597209723,0.6927557851376329,0.11244658490037071
All 16 subscales,16,120,qwen7b_instruct_v3,7.0,instruct,Qwen,0.7766751721888376,1.2934844457430335,0.0953725743177434,0.7555229922690572,0.8932213883225267,0.09254151225028007
All 16 subscales,16,120,llama8b_base_v2,8.0,base,Llama,0.7144084019378881,0.9390643898850595,0.14978438469890276,0.6630050874337505,0.61866467561378,0.14967299990692526
All 16 subscales,16,120,llama8b_instruct_v3,8.0,instruct,Llama,0.7783625538249939,1.2316526859322727,0.01654829813238458,0.7528851470182005,0.8457162850789978,0.014166029550728843
All 16 subscales,16,120,qwen14b_base_v2,14.0,base,Qwen,0.7316858993605727,1.1319142517694163,0.1483831453739783,0.7081484501902088,0.7776833331850789,0.14616427679217442
All 16 subscales,16,116,qwen14b_instruct_v3,14.0,instruct,Qwen,0.7935920171318104,1.3358669995959507,0.09437268977134544,0.7732795269922287,0.9239709379893769,0.09112092100151797
alpha >= 0.60,12,64,qwen05b_base_v2,0.5,base,Qwen,0.09611095066293508,0.07521323359966844,0.17105847123119292,0.07883123070990154,0.04987010563131383,0.1713185726396106
alpha >= 0.60,12,66,qwen05b_instruct_v3,0.5,instruct,Qwen,0.3581681576908171,0.35029740156131245,0.11925389698574056,0.33285693631304647,0.2627847137823296,0.11826928619906193
alpha >= 0.60,12,61,llama1b_base_v2,1.0,base,Llama,0.40769938071821377,0.3189796535904514,0.2556550609334749,0.38859279470780334,0.24550254626621532,0.2542883212581779
alpha >= 0.60,12,66,llama1b_instruct_v3,1.0,instruct,Llama,0.521309409825513,0.5085030350934319,0.18176702281539348,0.5154693282136885,0.4058759875622874,0.17854011407037573
alpha >= 0.60,12,66,qwen3b_base_v2,3.0,base,Qwen,0.5897293674408278,0.5912175796859613,0.12724145135148807,0.5813563683746641,0.4704674293449101,0.1235949197740809
alpha >= 0.60,12,66,qwen3b_instruct_v3,3.0,instruct,Qwen,0.5208115365293422,0.584089309388505,0.1211292384285497,0.5173448633194775,0.468350887336539,0.11726480206759306
alpha >= 0.60,12,66,llama3b_base_v2,3.0,base,Llama,0.6115140584211551,0.707135814723812,0.1001112904822897,0.5956661149926058,0.5560218110676576,0.0962423867545324
alpha >= 0.60,12,66,llama3b_instruct_v3,3.0,instruct,Llama,0.701964528248136,0.7969886109306553,0.15377159620393596,0.6845140295317748,0.6273528084221717,0.14936103590311545
alpha >= 0.60,12,66,qwen7b_base_v2,7.0,base,Qwen,0.6870425825571258,1.0184116872528248,0.1483989880075664,0.671079711357693,0.8029830404815617,0.14266466369400058
alpha >= 0.60,12,66,qwen7b_instruct_v3,7.0,instruct,Qwen,0.7577652480319331,1.275587919201837,0.07562199272385402,0.7474306094252713,1.0156384573800146,0.06771193441320915
alpha >= 0.60,12,66,llama8b_base_v2,8.0,base,Llama,0.7454869846221878,0.9948909540841661,0.19331021392265313,0.7261305004587109,0.7822447196264564,0.1878698318154821
alpha >= 0.60,12,66,llama8b_instruct_v3,8.0,instruct,Llama,0.785702054892838,1.249435840014497,-0.025733793505749086,0.777588867533443,0.9981565229133174,-0.033727703336223123
alpha >= 0.60,12,66,qwen14b_base_v2,14.0,base,Qwen,0.7148299683332469,1.0999538633019879,0.1883227559470786,0.6991005783219482,0.8683682253340396,0.18204887933440966
alpha >= 0.60,12,62,qwen14b_instruct_v3,14.0,instruct,Qwen,0.7737887025967566,1.316266756638471,0.09582893071149463,0.7660688524021546,1.0527873386276325,0.08749939465922614
alpha >= 0.70,9,36,qwen05b_base_v2,0.5,base,Qwen,0.10933260345731263,0.08027607363150219,0.21096383585098186,0.09264388403657209,0.05714490432016045,0.21092133293915574
alpha >= 0.70,9,36,qwen05b_instruct_v3,0.5,instruct,Qwen,0.44802575668320554,0.4165657583054655,0.10505938916880564,0.42871736056247833,0.33486979717262094,0.10304328743683917
alpha >= 0.70,9,33,llama1b_base_v2,1.0,base,Llama,0.5254301277159139,0.3517386334564265,0.33002090798104455,0.5020418603110435,0.2818850619618292,0.32821112742319786
