model,dirname,level,r,ci_lo,ci_hi,ci_width
0.5B base Q,qwen05b_base_v2,item,0.3424585718622137,0.2996073542093904,0.3462744255154512,0.0466670713060608
0.5B base Q,qwen05b_base_v2,item_within,0.7062210548647051,0.6652889858440026,0.71388341713263,0.0485944312886273
0.5B base Q,qwen05b_base_v2,item_between,0.1310258857828144,0.0864264555956633,0.1560249667594337,0.0695985111637703
0.5B base Q,qwen05b_base_v2,subscale,0.1421443370336209,0.0772224229972895,0.2057436452444552,0.1285212222471656
0.5B base Q,qwen05b_base_v2,scale,0.4666497521492184,0.3694108304259048,0.5368365897050509,0.167425759279146
0.5B inst Q,qwen05b_instruct_v3,item,0.4640470026400578,0.4098679191850194,0.4680589701373682,0.0581910509523487
0.5B inst Q,qwen05b_instruct_v3,item_within,0.8272058590608661,0.7930424373053978,0.8285126915300922,0.0354702542246944
0.5B inst Q,qwen05b_instruct_v3,item_between,0.2639526629967587,0.2020788267683905,0.2823371408566468,0.0802583140882563
0.5B inst Q,qwen05b_instruct_v3,subscale,0.3068894341902537,0.2255421967881664,0.37285397827512,0.1473117814869535
0.5B inst Q,qwen05b_instruct_v3,scale,0.738401570101588,0.6648016074601978,0.7883907006664265,0.1235890932062286
1B base L,llama1b_base_v2,item,0.251366712865956,0.2113865963983661,0.2715920301145479,0.0602054337161818
1B base L,llama1b_base_v2,item_within,0.3100814368564303,0.271264461753986,0.3409042263950204,0.0696397646410344
1B base L,llama1b_base_v2,item_between,0.2246076110982147,0.1678015927019367,0.2558350331160202,0.0880334404140834
1B base L,llama1b_base_v2,subscale,0.3898715249256386,0.3252765077322694,0.4370480726199496,0.1117715648876802
1B base L,llama1b_base_v2,scale,0.6210271020183649,0.5209162446935921,0.741975708830624,0.2210594641370319
1B inst L,llama1b_instruct_v3,item,0.4338749660691748,0.3869168231386035,0.4427647408593519,0.0558479177207484
1B inst L,llama1b_instruct_v3,item_within,0.7992945127782605,0.7710973195079128,0.8124460286486842,0.0413487091407713
1B inst L,llama1b_instruct_v3,item_between,0.2607250144855652,0.2027724063380974,0.2798890940010888,0.0771166876629914
