target,R2_main,R2_interaction,R2_gain,model
IRI_Perspective_taking,0.1668052870566018,0.24585824753855134,0.07905296048194954,0.5B
IRI_Fantasy,0.02732251048625134,0.030905313034022552,0.0035828025477712133,0.5B
IRI_Empathic_concern,0.14223103333029508,0.19455078540394366,0.052319752073648584,0.5B
IRI_Personal_distress,0.2346708443408264,0.30969308924863914,0.07502224490781273,0.5B
PANAS_Positive_Affect,0.006264916467781267,0.00626491646778049,-7.771561172376096e-16,0.5B
PANAS_Negative_Affect,0.11378928933542265,0.15205318462531092,0.03826389528988827,0.5B
POM_Peace_of_Mind,0.06341846594463862,0.14997497462705245,0.08655650868241382,0.5B
SelfConst_Independent_self,0.2629597511287306,0.48701271886356134,0.22405296773483074,0.5B
SelfConst_Interdependent_self,0.2978300759800462,0.542324147677393,0.24449407169734683,0.5B
LifeSat_Life_Satisfaction,0.33516688491640534,0.6030468678624721,0.26787998294606674,0.5B
Lonely_Loneliness,0.09800498753117282,0.13335411471321745,0.03534912718204464,0.5B
IRI_Perspective_taking,0.024254914394419624,0.04220830691185795,0.017953392517438327,3B
IRI_Fantasy,0.0481992601926754,0.1277234665257514,0.079524206333076,3B
IRI_Empathic_concern,0.0926526236125127,0.11879099394550974,0.02613837033299704,3B
IRI_Personal_distress,0.49278847772765666,0.5331911524831532,0.040402674755496526,3B
PANAS_Positive_Affect,0.5003842053437619,0.6146105531793626,0.1142263478356007,3B
PANAS_Negative_Affect,0.5270765373377314,0.5676537565530102,0.04057721921527879,3B
POM_Peace_of_Mind,0.16618211920529813,0.27150745033112567,0.10532533112582754,3B
SelfConst_Independent_self,0.3091658981453017,0.37777564299620836,0.06860974485090665,3B
SelfConst_Interdependent_self,0.17348351107429794,0.2034039881044064,0.029920477030108472,3B
LifeSat_Life_Satisfaction,0.2101316675079925,0.23677540804307595,0.02664374053508345,3B
Lonely_Loneliness,0.29827054876292247,0.4004718278181809,0.10220127905525844,3B
IRI_Perspective_taking,0.6854195852489098,0.7125007399222587,0.02708115467334893,14B
IRI_Fantasy,0.6103102560067584,0.6592370733565791,0.04892681734982074,14B
IRI_Empathic_concern,0.8440741084479918,0.8640716721965707,0.01999756374857886,14B
IRI_Personal_distress,0.8140591408935324,0.8202699298392201,0.0062107889456877174,14B
PANAS_Positive_Affect,0.789473934249699,0.8044936498384747,0.015019715588775684,14B
PANAS_Negative_Affect,0.7127689822807894,0.7168357239924152,0.004066741711625799,14B
POM_Peace_of_Mind,0.13007259571234053,0.23588757560404072,0.10581497989170019,14B
SelfConst_Independent_self,0.7893998826247511,0.8052447483033919,0.01584486567864074,14B
SelfConst_Interdependent_self,0.7361458459876491,0.7588573516847266,0.022711505697077472,14B
LifeSat_Life_Satisfaction,0.35629325259515576,0.39599341033991453,0.03970015774475877,14B
Lonely_Loneliness,0.27018351838688026,0.31771733362701604,0.04753381524013578,14B
