model_id,culture_name,noculture_name,size,family,type,metric_source,metric,culture,noculture,delta
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,item_between_r,0.1121506766585267,0.1310258857828143,-0.018875209124287598
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,item_between_rmse,0.2102020494810667,0.205727518840898,0.0044745306401687
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,item_between_slope,0.1223181625220439,0.1428697451269868,-0.0205515826049429
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,item_matrix_r,0.3282083604415265,0.3424585718622136,-0.014250211420687109
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,item_rmse,0.2068690245333899,0.2033741708257303,0.00349485370765959
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,item_within_r,0.711502416624851,0.7062210548647053,0.005281361760145709
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,item_within_rmse,0.191780868837005,0.1929772907479138,-0.0011964219109088237
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,item_within_slope,0.6355928940842003,0.6295971329815541,0.005995761102646213
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,scale_matrix_r,0.4471506474134409,0.4666497521492188,-0.019499104735777872
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,scale_rmse,0.282119105180715,0.2723003087011493,0.009818796479565683
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,subscale_between_r,0.0175492424689932,0.0707039990377789,-0.0531547565687857
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,subscale_between_rmse,0.3412832024157298,0.3301963870885226,0.011086815327207178
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,subscale_between_slope,0.0141260890156388,0.0558818031017728,-0.041755714086134
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,subscale_matrix_r,0.1010089013154335,0.142144337033621,-0.04113543571818751
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,subscale_rmse,0.3227951123376156,0.313300731541765,0.009494380795850577
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,subscale_within_r,0.616311927361422,0.5755805753272674,0.04073135203415468
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,subscale_within_rmse,0.1967650192605777,0.2034201370347571,-0.0066551177741793754
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,overall,subscale_within_slope,0.6980259670310283,0.6349937482629056,0.0630322187681227
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_IRI,subscale_r,-0.1491979671043973,-0.1354901566174798,-0.013707810486917521
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_IRI,subscale_slope,-0.1397743376768644,-0.1200599677866852,-0.01971436989017919
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_IRI,subscale_rmse,0.3249915957898674,0.3135149145707049,0.01147668121916251
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_IRI,item_r,0.047896586414988,0.0614371190541263,-0.013540532639138299
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_IRI,item_slope,0.0541105052505183,0.0659413048501032,-0.011830799599584906
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_IRI,item_rmse,0.1877026704573136,0.1818936787014958,0.005808991755817783
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_PANAS,subscale_r,0.0159872191484097,0.0831369590910621,-0.0671497399426524
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_PANAS,subscale_slope,0.0115631152382467,0.0533702141004454,-0.0418070988621987
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_PANAS,subscale_rmse,0.3926820598046002,0.3760065837767338,0.0166754760278664
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_PANAS,item_r,0.0941690317738647,0.1040359080087093,-0.009866876234844599
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_PANAS,item_slope,0.0851198703251445,0.0949888879966706,-0.009869017671526106
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_PANAS,item_rmse,0.2114374503453,0.207110261581316,0.004327188763983997
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_POM,subscale_r,0.5442085314393345,0.4554648874696964,0.08874364396963808
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_POM,subscale_slope,0.4998236572027746,0.4521438923600188,0.04767976484275582
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_POM,subscale_rmse,0.3244706455141528,0.3625719684815804,-0.03810132296742763
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_POM,item_r,0.2785135460363372,0.2516080778974805,0.026905468138856692
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_POM,item_slope,0.3473060613083463,0.3208476153402822,0.02645844596806407
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_POM,item_rmse,0.3041540008722487,0.3128507479996756,-0.008696747127426907
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_BigFive,subscale_r,0.1234765028328405,0.1047263157343957,0.01875018709844481
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_BigFive,subscale_slope,0.0625018114696242,0.0494881309075407,0.013013680562083504
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_BigFive,subscale_rmse,0.2711045229775581,0.2696816956484348,0.0014228273291232996
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_BigFive,item_r,0.0366041814273042,0.0574863889436304,-0.020882207516326204
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_BigFive,item_slope,0.024790688301863,0.0376726239489718,-0.012881935647108798
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_BigFive,item_rmse,0.1943582500248259,0.1882051788452028,0.006153071179623104
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_SelfConst,subscale_r,0.4128838338033583,0.4200365970793949,-0.007152763276036589
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_SelfConst,subscale_slope,0.2815729373570141,0.3008857073679563,-0.01931277001094217
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_SelfConst,subscale_rmse,0.2114427396206156,0.211541746916067,-9.900729545139764e-05
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_SelfConst,item_r,0.1005628337613211,0.0847270712621372,0.015835762499183892
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_SelfConst,item_slope,0.0849447645489101,0.0710102664305349,0.013934498118375202
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_SelfConst,item_rmse,0.1474069534737982,0.1464858603017357,0.0009210931720625148
Qwen/Qwen2.5-0.5B,qwen05b_base_culture,qwen05b_base_v2,0.5,Qwen,base,per_scale_LifeSat,subscale_r,0.66193936825078,0.663736353868681,-0.0017969856179009813
