culture_name,size,family,type,culture_item_between_r,culture_item_between_rmse,culture_item_between_slope,culture_item_matrix_r,culture_item_rmse,culture_item_within_r,culture_item_within_rmse,culture_item_within_slope,culture_scale_matrix_r,culture_scale_rmse,culture_subscale_between_r,culture_subscale_between_rmse,culture_subscale_between_slope,culture_subscale_matrix_r,culture_subscale_rmse,culture_subscale_within_r,culture_subscale_within_rmse,culture_subscale_within_slope,delta_item_between_r,delta_item_between_rmse,delta_item_between_slope,delta_item_matrix_r,delta_item_rmse,delta_item_within_r,delta_item_within_rmse,delta_item_within_slope,delta_scale_matrix_r,delta_scale_rmse,delta_subscale_between_r,delta_subscale_between_rmse,delta_subscale_between_slope,delta_subscale_matrix_r,delta_subscale_rmse,delta_subscale_within_r,delta_subscale_within_rmse,delta_subscale_within_slope,noculture_item_between_r,noculture_item_between_rmse,noculture_item_between_slope,noculture_item_matrix_r,noculture_item_rmse,noculture_item_within_r,noculture_item_within_rmse,noculture_item_within_slope,noculture_scale_matrix_r,noculture_scale_rmse,noculture_subscale_between_r,noculture_subscale_between_rmse,noculture_subscale_between_slope,noculture_subscale_matrix_r,noculture_subscale_rmse,noculture_subscale_within_r,noculture_subscale_within_rmse,noculture_subscale_within_slope
llama1b_base_culture,1.0,Llama,base,0.2134521686321229,0.2389120615254121,0.2743205397973037,0.2420125191891443,0.2535377609868155,0.3063857793848424,0.3030491304316799,0.3186614095722063,0.6815202091517826,0.28405126872613,0.3128441330640831,0.3020043058405862,0.2540700515569362,0.3292807152424939,0.2934810882293915,0.4619919290563952,0.2436063289253374,0.5480921507110403,-0.01115544246609168,0.0005802313097466039,-0.015238438047734781,-0.009354193676811617,0.0005339807294948984,-0.0036956574715880097,0.0009214192156444256,-0.0024111135282666174,0.08084371933988133,-0.015495928759432065,-0.05002575411580962,0.009301386728900463,-0.04627747330823012,-0.04914453252254347,0.008417586590597825,-0.030190587484089315,0.0018283887227805995,-0.026854082807516222,0.2246076110982146,0.2383318302156655,0.2895589778450385,0.2513667128659559,0.2530037802573206,0.3100814368564304,0.3021277112160355,0.3210725231004729,0.6006764898119012,0.2995471974855621,0.3628698871798927,0.2927029191116857,0.3003475248651663,0.3784252477650374,0.2850635016387937,0.4921825165404845,0.2417779402025568,0.5749462335185566
llama1b_instruct_culture,1.0,Llama,instruct,0.2616011311804029,0.1995774520180646,0.3021564319962433,0.4312445423558729,0.1914937049297823,0.8037176696957414,0.1518930960386773,0.6847949872850607,0.4651981418483396,0.2793763440803461,0.4377683165489797,0.3114327446219893,0.4798492751961878,0.4712687109956945,0.2922997624096114,0.8079838309192713,0.1413588776919197,0.9108746805071182,0.0008761166948377253,0.005247135953657306,0.014313993647667722,-0.0026304237133017994,0.004437207182117098,0.004423156917481297,-0.0008492995294510086,0.017605029487820723,-0.06578229441815914,0.02481653372937742,-0.021751784792794326,0.016341922960818267,0.0012910751655303976,-0.021853735933255902,0.01543331890925842,-0.013269893679887512,0.008738530782182008,0.015156967227331508,0.2607250144855652,0.1943303160644073,0.2878424383485756,0.4338749660691747,0.1870564977476652,0.7992945127782601,0.1527423955681283,0.66718995779724,0.5309804362664987,0.2545598103509687,0.459520101341774,0.295090821661171,0.4785582000306574,0.4931224469289504,0.276866443500353,0.8212537245991588,0.1326203469097377,0.8957177132797867
llama3b_base_culture,3.0,Llama,base,0.4015124413621597,0.1852485769803222,0.4490959249445515,0.6005911306994167,0.1680216820168092,0.9976503642727486,0.0172379375009373,0.9927346108765072,0.7984547467511767,0.1813638077145212,0.4995389282073709,0.279062623122542,0.5460562359575867,0.5434463351075952,0.2572976616689063,0.9995491429015692,0.0070857697103111,0.98783407879485,-0.033026521528514596,-0.0016531882890193916,-0.06452644345966602,-0.015787790496302523,-0.0012637928354257144,-0.00027137299805346515,0.0010160098330229995,-0.00010254387296204648,-0.001682151441548152,-0.01617693616927468,-0.06263441051420893,0.011289891255808482,-0.08001517781615552,-0.054610087004609786,0.010409636077173462,-8.851588968461499e-06,0.00035443060797840046,-0.00017722404593967234,0.4345389628906743,0.1869017652693416,0.5136223684042175,0.6163789211957192,0.1692854748522349,0.997921737270802,0.0162219276679143,0.9928371547494692,0.8001368981927248,0.1975407438837959,0.5621733387215798,0.2677727318667335,0.6260714137737422,0.598056422112205,0.2468880255917328,0.9995579944905376,0.0067313391023327,0.9880113028407896
llama3b_instruct_culture,3.0,Llama,instruct,0.452312256420978,0.2069578109784281,0.6398409469291716,0.5817966239769917,0.1898079087062186,0.9720410027276116,0.0594221253868058,0.918198611153857,0.8573494395844001,0.2083050292958834,0.6412999029982747,0.2685268668220992,0.7398951420867049,0.6611645959276521,0.247689894482163,0.9958044792913048,0.019934451599457,0.9837299430314262,0.0007680086825130883,0.0011403336698513067,-0.0005104514318006181,0.0001984209426582062,0.0011078620634553116,-0.0011203462645399398,0.0009601268392006035,0.003216608127265208,0.011576539929868623,0.005268595729932712,0.017811634428571366,-0.01442786910391508,-0.0018023264817735862,0.019161251088329778,-0.01332343825742932,0.0006991271019948231,-0.002289360301706001,0.012833313479666209,0.4515442477384649,0.2058174773085768,0.6403513983609722,0.5815982030343335,0.1887000466427633,0.9731613489921516,0.0584619985476052,0.9149820030265918,0.8457728996545315,0.2030364335659507,0.6234882685697033,0.2829547359260143,0.7416974685684785,0.6420033448393223,0.2610133327395923,0.99510535218931,0.022223811901163,0.97089662955176
llama8b_base_culture,8.0,Llama,base,0.5589143913670486,0.2255504464751745,0.8888391991729027,0.6467572131657737,0.2052198911563698,0.9995722554727576,0.0073548036827145,0.9996087234926504,0.8899640139547046,0.2587670943880429,0.7209544965045664,0.2888997480676523,0.9490868580098548,0.7259894066512584,0.2663530036860239,0.9999787996532004,0.0014555733052914,1.0019508950278024,0.01647602338936427,-1.571772531769322e-05,0.03216297565723936,0.010202196770350058,1.4842161012190713e-05,-0.00011176808676638395,0.0010299130344635001,0.0011857411174478472,0.00932639171810068,-0.008999387830698091,0.009791424990497677,-0.013540469748734907,0.0018211355475031832,0.011581004713370202,-0.012483316322001836,-1.2227186281021929e-05,0.0005581484042358,0.00112538648560645,0.5424383679776843,0.2255661642004922,0.8566762235156633,0.6365550163954237,0.2052050489953576,0.999684023559524,0.006324890648251,0.9984229823752026,0.8806376222366039,0.267766482218741,0.7111630715140688,0.3024402178163872,0.9472657224623516,0.7144084019378882,0.2788363200080257,0.9999910268394814,0.0008974249010556,1.000825508542196
llama8b_instruct_culture,8.0,Llama,instruct,0.6264070804748592,0.2340559605195742,1.22179255249764,0.6838612671934364,0.2129508374442043,0.999694655210632,0.0062226019207312,0.9979308494344162,0.8949434518586906,0.2709318810898609,0.7654060826331445,0.3113508380727554,1.3202166537534352,0.770431071938117,0.2870515322450242,0.9999901374136272,0.0009641953470482,1.0003704642301168,0.0006621411961252877,0.013844076995554594,0.06987778654079468,-0.00826118078073379,0.012831753178780492,-3.969401430214958e-05,0.00042237718980100026,-0.0006060660191011813,-0.013392248819690367,0.025586689022561587,-0.0051150175577111545,0.025631611630000883,0.060247788974011174,-0.007931481886876868,0.023630017636787626,3.9960897084800884e-05,-0.0012560948866611,-0.0015475646529807818,0.6257449392787339,0.2202118835240196,1.1519147659568454,0.6921224479741702,0.2001190842654238,0.9997343492249342,0.0058002247309302,0.9985369154535174,0.908335700678381,0.2453451920672993,0.7705211001908556,0.2857192264427545,1.259968864779424,0.7783625538249939,0.2634215146082366,0.9999501765165424,0.0022202902337093,1.0019180288830976
qwen05b_base_culture,0.5,Qwen,base,0.1121506766585267,0.2102020494810667,0.1223181625220439,0.3282083604415265,0.2068690245333899,0.711502416624851,0.191780868837005,0.6355928940842003,0.4471506474134409,0.282119105180715,0.0175492424689932,0.3412832024157298,0.0141260890156388,0.1010089013154335,0.3227951123376156,0.616311927361422,0.1967650192605777,0.6980259670310283,-0.018875209124287598,0.0044745306401687,-0.0205515826049429,-0.014250211420687109,0.00349485370765959,0.005281361760145709,-0.0011964219109088237,0.005995761102646213,-0.019499104735777872,0.009818796479565683,-0.0531547565687857,0.011086815327207178,-0.041755714086134,-0.04113543571818751,0.009494380795850577,0.04073135203415468,-0.0066551177741793754,0.0630322187681227,0.1310258857828143,0.205727518840898,0.1428697451269868,0.3424585718622136,0.2033741708257303,0.7062210548647053,0.1929772907479138,0.6295971329815541,0.4666497521492188,0.2723003087011493,0.0707039990377789,0.3301963870885226,0.0558818031017728,0.142144337033621,0.313300731541765,0.5755805753272674,0.2034201370347571,0.6349937482629056
qwen05b_instruct_culture,0.5,Qwen,instruct,0.237407831391906,0.2025556653168446,0.24565073220623,0.4511910446108415,0.1926486677502157,0.8368625432651886,0.142276127104653,0.7664327291416738,0.695070745661439,0.1898455914362722,0.2651584248205076,0.3215091705226984,0.2570263575243247,0.2895509511629857,0.3065600055404314,0.5381730919436754,0.2019259315736806,0.5543290780110091,-0.02654483160485241,0.004842663568102007,-0.022993077632753017,-0.012855958029216241,0.0036623238032750804,0.00965668420432264,-0.002977729334021878,0.01877351122012949,-0.04333082444014902,0.008949489328631488,-0.024043065795917584,0.0052048835340605115,-0.023278370255188918,-0.017338483027268314,0.004462342404244313,0.022179550689761074,-0.0017381120547609041,0.04335458079647736,0.2639526629967584,0.1977130017487426,0.268643809838983,0.4640470026400577,0.1889863439469406,0.827205859060866,0.1452538564386749,0.7476592179215443,0.738401570101588,0.1808961021076407,0.2892014906164252,0.3163042869886379,0.2803047277795136,0.306889434190254,0.3020976631361871,0.5159935412539143,0.2036640436284415,0.5109744972145317
qwen14b_base_culture,14.0,Qwen,base,0.64486285250536,0.2207110664723007,1.1313379062253477,0.7043018082641564,0.1998287356750307,0.9994913754935316,0.0080674347674149,1.0006111951504733,0.8263149938683702,0.3064981299623785,0.7309733211996725,0.3589020720099622,1.1865757435400346,0.7261170695735225,0.3308955726144962,0.9997877886618936,0.0043106664510377,1.0004963687301571,0.006962061010118981,0.0037057262046526207,0.03307423896635475,0.0025955214160950923,0.003126866780252119,2.2940384572844863e-05,-0.00018934481281299848,-0.0012950802606983558,-0.021264839199646723,0.024926032464654302,-0.002446422083776656,0.018879665288595027,0.024950478204015303,-0.005568829787050311,0.01740189899200678,0.0001708051346731576,-0.0016513743749978,-0.004949315631256557,0.637900791495241,0.2170053402676481,1.098263667258993,0.7017062868480614,0.1967018688947786,0.9994684351089588,0.0082567795802279,1.0019062754111716,0.8475798330680169,0.2815720974977242,0.7334197432834492,0.3400224067213672,1.1616252653360193,0.7316858993605728,0.3134936736224894,0.9996169835272204,0.0059620408260355,1.0054456843614137
qwen14b_instruct_culture,14.0,Qwen,instruct,0.6684200382793538,0.2261354347081553,1.255677957759176,0.7183969764419718,0.2042963319032356,0.998259637757972,0.0152299601965809,1.0093937790616043,0.8488792910623463,0.2791313936438022,0.7772536756269516,0.3449363945929146,1.3657236005622533,0.7743086388820627,0.3170525426568907,0.9997894722576138,0.0049391776012051,0.9935235171718532,0.013992391585507247,-0.00318513212356758,0.02935768331539612,0.010579798210881064,-0.002853446807866311,0.00018618584729879206,-0.0007151553113749019,0.0005650113871840112,0.005856570522762783,0.021015125657027678,-0.018799672389562816,0.017138243316239976,-0.019208065358424564,-0.019283378249747463,0.015757761266063597,-0.00017957649003375042,0.0032442185978557997,-0.006804955578293526,0.6544276466938466,0.2293205668317229,1.2263202744437798,0.7078171782310907,0.2071497787111019,0.9980734519106732,0.0159451155079558,1.0088287676744203,0.8430227205395835,0.2581162679867745,0.7960533480165144,0.3277981512766746,1.3849316659206778,0.7935920171318102,0.3012947813908271,0.9999690487476476,0.0016949590033493,1.0003284727501467
