model,size,family,mtype,best_layer,geom_mantel_r,geom_slope_raw,mean_reliability,n_reliable,geom_slope_corrected,geom_mantel_r_corrected,geom_pearson_r_corrected,r_partial_semantic,p_partial_semantic,reg_perm_baseline,reg_genuine_signal
qwen05b_base,0.5,qwen,base,10,0.0356635841961657,0.030645979046369,0.10589140222407875,2,-0.15859856048699345,-0.04433958569062388,-0.044339585690623906,0.8274652070134464,2.346931798099811e-31,0.8531299120599861,-0.025072466681281047
qwen05b_instruct,0.5,qwen,instruct,6,0.1002220410789455,0.0823923465469058,0.1354898805823177,3,0.4438144336538965,0.12451606196964148,0.1245160619696415,0.825624721187532,4.144869568379229e-31,0.8373690785748316,-0.01535554747460599
llama1b_base,1.0,llama,base,12,0.0663686292637612,0.0704513153701428,0.21726640045642853,6,0.4759085595253439,0.1323882207500264,0.13238822075002638,0.8672659195126098,1.5235979550481201e-37,0.8451700847723642,0.020415193793400954
llama1b_instruct,1.0,llama,instruct,6,-0.0057370184994762,-0.0037141472959198,0.17621212450787427,4,0.11377450279929852,0.034594726189079675,0.03459472618907969,0.8897730456498095,5.223992695479346e-42,0.8544097362473951,0.03631743036378443
qwen3b_base,3.0,qwen,base,18,0.0517148262610377,0.0297325832717123,0.06278555285185576,1,0.2828437544552779,0.07485247488564693,0.07485247488564695,0.9437875434495119,1.4459793178753144e-58,0.9347512811127021,0.008727896643536903
qwen3b_instruct,3.0,qwen,instruct,22,0.0321514472828273,0.019196161786702,0.06394631780218332,2,0.05505533468112801,0.014882008625633611,0.014882008625633575,0.8852447572535529,4.901154909870053e-41,0.9270221946950379,-0.040547052159067176
llama3b_base,3.0,llama,base,20,-0.150850037003579,-0.1752240588992767,0.25770430644974107,6,-0.6457797540712942,-0.19633030771603427,-0.1963303077160342,0.9273391182390698,3.361415167647216e-52,0.8456710194420318,0.08220850394461998
llama3b_instruct,3.0,llama,instruct,14,-0.0525024820393697,-0.0393831945177673,0.21237677693367002,6,-0.08747164993176618,-0.026776869286011147,-0.026776869286011164,0.9116093336732849,2.2134250876161574e-47,0.8406048515343559,0.07158137089695671
qwen7b_base,7.0,qwen,base,14,0.0074969335304551,0.0061895169268202,0.11673224738799035,3,0.19969851073961187,0.05611667905253421,0.05611667905253422,0.9692446715411287,1.0700285851337119e-73,0.9452059718234238,0.024201118695120538
qwen7b_instruct,7.0,qwen,instruct,20,0.4200886908030926,0.3837264607900413,0.25517779271118346,7,1.2215396360218977,0.37077560665645437,0.37077560665645437,0.9236963874411254,5.40935379276882e-51,0.9525940133195163,-0.028784904251473398
llama8b_base,8.0,llama,base,12,-0.0606525733479076,-0.0875691628898671,0.12129355372861025,3,-0.4297217291057332,-0.11259002551761231,-0.1125900255176123,0.7346282470134473,1.3079217742485217e-21,0.6901262177919001,0.0441582404303974
llama8b_instruct,8.0,llama,instruct,18,0.3683505638887989,0.2326010540311057,0.1991106670722365,5,1.0283379176257228,0.3127559642811462,0.31275596428114627,0.9698892700480019,3.1242926106841273e-74,0.8996300698402461,0.07032137180872278
qwen14b_base,14.0,qwen,base,24,0.1341631560578215,0.1029537381601632,0.2337658031284809,7,0.5913338222460486,0.18547247396222122,0.18547247396222122,0.9597656257386149,6.221374683955592e-67,0.964572989227433,-0.004990330020242961
qwen14b_instruct,14.0,qwen,instruct,36,0.6598967881659276,0.7653350468172546,0.580378342680633,13,1.5826005638693283,0.6737347929502934,0.6737347929502933,0.8532342824178555,3.727439517964178e-35,0.9866465347790448,-0.13513751485424697
