model,model_id,family,mtype,n_layers,best_layer,geom_mantel_r,geom_slope,mean_reliability,n_reliable,reg_mantel_r,reg_slope,has_partial,has_steering,has_amplification
llama1b_instruct,meta-llama/Llama-3.2-1B-Instruct,llama,instruct,16,6,-0.0057,-0.0037,0.176,4,0.8907,1.0136,True,True,True
llama1b_base,meta-llama/Llama-3.2-1B,llama,base,16,12,0.0664,0.0705,0.217,6,0.8656,1.0014,True,True,True
llama3b_instruct,meta-llama/Llama-3.2-3B-Instruct,llama,instruct,28,14,-0.0525,-0.0394,0.212,6,0.9122,1.0858,True,True,True
llama3b_base,meta-llama/Llama-3.2-3B,llama,base,28,20,-0.1509,-0.1752,0.258,6,0.9279,1.057,True,True,True
llama8b_instruct,meta-llama/Llama-3.1-8B-Instruct,llama,instruct,32,18,0.3684,0.2326,0.199,5,0.97,1.1028,True,True,True
llama8b_base,meta-llama/Llama-3.1-8B,llama,base,32,12,-0.0607,-0.0876,0.121,3,0.7343,0.9414,True,True,True
qwen05b_instruct,Qwen/Qwen2.5-0.5B-Instruct,qwen,instruct,24,6,0.1002,0.0824,0.135,3,0.822,1.0378,True,True,True
qwen05b_base,Qwen/Qwen2.5-0.5B,qwen,base,24,10,0.0357,0.0306,0.106,2,0.8281,0.9414,True,True,True
qwen3b_instruct,Qwen/Qwen2.5-3B-Instruct,qwen,instruct,36,22,0.0322,0.0192,0.064,2,0.8865,0.9778,True,True,True
qwen3b_base,Qwen/Qwen2.5-3B,qwen,base,36,18,0.0517,0.0297,0.063,1,0.9435,0.8906,True,True,True
qwen7b_instruct,Qwen/Qwen2.5-7B-Instruct,qwen,instruct,28,20,0.4201,0.3837,0.255,7,0.9238,1.0393,True,True,True
qwen7b_base,Qwen/Qwen2.5-7B,qwen,base,28,14,0.0075,0.0062,0.117,3,0.9694,1.0715,True,True,True
qwen14b_instruct,Qwen/Qwen2.5-14B-Instruct,qwen,instruct,48,36,0.6599,0.7653,0.58,13,0.8515,0.5793,True,,True
qwen14b_base,Qwen/Qwen2.5-14B,qwen,base,48,24,0.1342,0.103,0.234,7,0.9596,1.1487,True,,True
