model,size,family,mtype,repr_corrected_slope,repr_mantel_r,repr_reliability,beh_subscale_slope,beh_item_slope,beh_subscale_r
qwen05b_base,0.5,qwen,base,-0.1585985604869934,0.0356635841961657,0.1058914022240787,0.2893923936365042,0.19533129891640127,0.2613030368975524
qwen05b_instruct,0.5,qwen,instruct,0.4438144336538965,0.1002220410789455,0.1354898805823177,0.5237408084453105,0.3650087803622296,0.4558480617890985
llama1b_base,1.0,llama,base,0.4759085595253439,0.0663686292637612,0.2172664004564285,0.21502723584667033,0.24711059524221252,0.26932438699558864
llama1b_instruct,1.0,llama,instruct,0.1137745027992985,-0.0057370184994762,0.1762121245078742,0.5265469331839584,0.3485193734593306,0.47931808288863326
qwen3b_base,3.0,qwen,base,0.2828437544552779,0.0517148262610377,0.0627855528518557,0.7618097118253686,0.5381003590840624,0.5539770536468659
qwen3b_instruct,3.0,qwen,instruct,0.055055334681128,0.0321514472828273,0.0639463178021833,0.6391429499018904,0.4964905914980351,0.5203851127322242
llama3b_base,3.0,llama,base,-0.6457797540712942,-0.150850037003579,0.257704306449741,0.5284554064648173,0.4779050907599502,0.4210841774821255
llama3b_instruct,3.0,llama,instruct,-0.0874716499317661,-0.0525024820393697,0.21237677693367,0.8463926276860165,0.6162523543643771,0.6054364897136173
qwen7b_base,7.0,qwen,base,0.1996985107396118,0.0074969335304551,0.1167322473879903,1.2138988311994414,1.0762953571557998,0.7016019944647727
qwen7b_instruct,7.0,qwen,instruct,1.2215396360218975,0.4200886908030926,0.2551777927111834,1.410602668747495,1.202187058188936,0.7631361308765905
llama8b_base,8.0,llama,base,-0.4297217291057332,-0.0606525733479076,0.1212935537286102,0.9982203123534081,0.8474286256333207,0.6494316802574397
llama8b_instruct,8.0,llama,instruct,1.0283379176257228,0.3683505638887989,0.1991106670722365,1.3549164631962884,1.11884151957432,0.7557880086569382
qwen14b_base,14.0,qwen,base,0.5913338222460486,0.1341631560578215,0.2337658031284809,1.277726103949561,1.0495471873301743,0.7585127231091662
qwen14b_instruct,14.0,qwen,instruct,1.5826005638693283,0.6598967881659276,0.580378342680633,1.5327888377280747,1.2627661307560418,0.8086366468163223
