model,layer,slope,mantel_r
llama3b_instruct,8,1.446643258298339,0.8169889329619291
llama3b_instruct,10,1.390067566490405,0.8142376610127863
llama3b_instruct,12,1.5537905334874047,0.8421781741161476
llama3b_instruct,14,1.6283762857732413,0.8394306631132987
llama3b_instruct,16,1.6609863651526193,0.8364841621065439
llama3b_instruct,18,1.6677225942282647,0.8349556252897182
llama3b_instruct,20,1.6441707270914272,0.8348801261100323
llama8b_instruct,12,1.5992237887501177,0.8338401217918854
llama8b_instruct,14,1.7181233603513226,0.8220758791262531
llama8b_instruct,16,1.6974304611328457,0.8266095756499973
llama8b_instruct,18,1.6773244970532262,0.8210938672115025
llama8b_instruct,20,1.6896392333217494,0.8227186237317884
llama8b_instruct,22,1.683973757345668,0.8204031079970197
llama8b_instruct,24,1.669475817076096,0.8185274867045913
llama8b_base,12,1.4725039290407893,0.8262070083778259
llama8b_base,14,1.633774341053157,0.8221608907648567
llama8b_base,16,1.574811461842734,0.8185605799487052
llama8b_base,18,1.5813398684337943,0.8132821622827929
llama8b_base,20,1.582032717545719,0.8148459067914454
llama8b_base,22,1.564986388059452,0.8156782726731352
llama8b_base,24,1.552150308179766,0.8141185865567728
qwen7b_instruct,8,1.4115444698010151,0.7981400895525789
qwen7b_instruct,10,1.405280126553001,0.8095326464053453
qwen7b_instruct,12,1.3655664501126763,0.812917014348021
qwen7b_instruct,14,1.5454940651090148,0.8401000024230203
qwen7b_instruct,16,1.615234775331745,0.822202112024514
qwen7b_instruct,18,1.653034866627359,0.8171309265212364
qwen7b_instruct,20,1.707135710627147,0.8103056395710584
qwen14b_instruct,16,1.356704268790322,0.8212879002029212
qwen14b_instruct,20,1.3468797452739167,0.8146111820276628
qwen14b_instruct,24,1.4597510658700292,0.8320362735766341
qwen14b_instruct,28,1.7462744636620706,0.8178912799960162
qwen14b_instruct,32,1.7689246295684844,0.8398090143265639
qwen14b_instruct,36,1.6817443846911957,0.8496502794457935
qwen14b_base,16,1.3479336947983438,0.803197768439445
qwen14b_base,20,1.3258599768032058,0.8138018058725762
qwen14b_base,24,1.4782192909679772,0.8370428949269175
qwen14b_base,28,1.6980745844531,0.8176306030435181
qwen14b_base,32,1.7467935658104219,0.8174625212289249
qwen14b_base,36,1.715587046852515,0.8286857273281742
