,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,0.9831432388825467,0.24271150303808045,0.23363987031738248,-0.006710319535200737,0.3074220012799996,-0.09310239911810668,,,0.19729265537519647,0.3275435408020372,-0.053115998078714505,0.3705899289943594,-0.0472272399966637,0.3740939003736475,0.44872351629316204,-0.5018345325775215
IRI_Fantasy,0.1988786151239696,1.0,0.4365631794482852,0.04968413141706576,0.48411275994125647,0.13416174609577672,,,0.48718809370254357,0.01210786192808238,0.11348702700343269,0.3157413892987929,0.08018763935424707,0.2968298820548016,0.5118532003878151,-0.5087553938084453
IRI_Empathic_concern,0.19359016955905692,0.4365631794482852,0.9999999999999998,0.3780393837204078,0.6034943558701631,0.3018280904172148,,,0.7301863351192222,0.19994349753839843,0.16289771988545865,0.5516586833023039,0.04968904182566147,0.8283593126535563,0.5545558829631454,-0.7504104584351148
IRI_Personal_distress,-0.02981152089096205,0.04968413141706576,0.3780393837204078,0.9999999999999998,0.15773073298555704,0.7268492445967261,,,0.3307530606442114,-0.159975446106971,0.5392353861102515,0.3514497254064704,0.06513794719036556,0.4168225675534941,0.036778154456216385,-0.22221146558571284
PANAS_Positive_Affect,0.11702338610536533,0.6952905540729434,0.4787671002110436,-0.4869141452919335,0.9999999999999997,-0.2398726917544381,0.4733176843800553,0.6869953542946488,0.26525523691150155,0.5305054764153412,-0.42857076113642545,0.4307462664448374,0.7373558473051065,0.6283446124945576,0.6637377442160921,-0.5868379528604986
PANAS_Negative_Affect,-0.565824153852956,-0.02145512647673553,-0.3847945865673511,0.8591784062901836,-0.2398726917544381,0.9999999999999996,-0.8647708229034592,-0.43099295731948795,-0.5104034565473324,-0.487884952963736,0.8509245538299196,-0.2661623412768126,-0.5345004833095605,-0.4783874318603577,-0.7505805604820686,0.7929799779177105
POM_Peace_of_Mind,0.7986340524146437,0.7496755100937188,0.7381889821894203,-0.9279501155526887,0.7967135328208654,-0.827578246284451,0.9996544929568881,0.07789796842689166,0.6116957229106013,0.6079697756743012,-0.9219968485012758,0.729028577404812,0.8235871393296835,0.6678054809969954,0.8794063047793892,-0.7617058702310003
BigFive_Extraversion,0.09193102400384016,0.21183447645662018,0.34413526287651064,-0.16085634717996578,0.7006542536594456,-0.21688725463535535,-0.31974360004304114,1.0,-0.31935358624052357,-0.08607116828364461,0.2650084656916951,0.4608823009375335,0.8591987836935433,-0.16768018047236227,0.2834880831278195,-0.5108500636653748
BigFive_Agreeableness,0.40318087767124944,0.14006934791811523,0.272813087097341,-0.07234870924725366,-0.3459179577703252,-0.2472653489297586,0.26313538542238585,-0.31935358624052357,1.0,0.04310358259672456,-0.31195706752243296,-0.23017480125247425,-0.4278701795200381,0.5922167343876443,0.008787805377377889,0.26981087814485394
BigFive_Conscientiousness,0.08761644193186276,0.01526995646870874,-0.12000456354110448,-0.17218239862449225,0.09009846978615771,0.018878245644939423,0.3113059257740132,-0.08607116828364461,0.04310358259672456,1.0,-0.15619620708448337,-0.05550148687553867,-0.010022140376253146,0.3405224859691271,0.20845087295757647,0.0027115241192885234
BigFive_Neuroticism,-0.11563877125092525,-0.17853585019475854,0.08680676715872543,0.7002683779566765,-0.12816328888842216,0.5339864779589916,-0.9230344631027194,0.2650084656916951,-0.31195706752243296,-0.15619620708448337,1.0,-0.06489216368562095,0.15914482097546753,-0.2456989823137415,-0.4490062496664725,-0.05857516758220324
BigFive_Openness,-0.014527291444545919,0.42128818810105684,0.13327412724963086,-0.2254364518433391,0.5847798304418168,-0.24510049154613253,0.023316465297264263,0.4608823009375335,-0.23017480125247425,-0.05550148687553867,-0.06489216368562095,1.0,0.49867893832763766,-0.2686202112577598,0.5017879231328948,-0.5275174797418519
SelfConst_Independent_self,-0.06024579094071701,0.6012753203983442,-0.11181551471910922,-0.25831434211115717,0.800511433049568,-0.07704572114114945,0.43070454419689064,0.6624000063056912,-0.3168160062075924,-0.184069775560457,-0.13216522150616744,0.6654209863808579,0.9954575811161777,0.015018997707697133,0.6163633857431277,0.1521636265045785
SelfConst_Interdependent_self,0.3642357676117846,0.06564175919534235,0.6134239011437295,0.2603670482567717,0.1637887669417526,0.1410330296491248,0.029722671421288774,-0.22727274593413455,0.42410173536744344,0.33681078478257287,-0.18179481208639486,-0.16776208179675206,0.005134315568096577,1.0,0.26459005487067583,-0.46776753820655614
LifeSat_Life_Satisfaction,0.6114262918766253,0.7956102111207135,0.9227920711971461,0.08602997614652912,0.9046468345086136,0.2466715561584158,0.9358588296583144,0.7091203783749385,0.5907377991920941,0.38606920319781357,0.28747804176972025,0.35263801349706503,0.9437091709787033,0.847861321970035,0.9999999999999999,-0.811330125519828
Lonely_Loneliness,-0.7068506934967076,0.135197092328089,-0.612527738031334,0.7205092710902339,-0.797657111788122,0.5300824569054169,-0.70851061011674,-0.5895294323361597,-0.6509918722598669,-0.6389101236123456,0.5625603186410699,0.012570749214351334,-0.3039400417377363,-0.7057277232992892,-0.591920373192045,0.9982989420629813
