,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0,0.5391845107078552,0.5409516096115112,0.27528777718544006,0.3526306450366974,-0.23832648992538452,-0.29038041830062866,0.22847332060337067,0.37574303150177,0.4388429820537567,-0.08320474624633789,-0.004845784977078438,0.3886132836341858,0.17696219682693481,0.1070316731929779,-0.41352394223213196
IRI_Fantasy,0.5391845107078552,1.0000001192092896,0.6255795359611511,0.30486780405044556,0.3651233911514282,-0.21394604444503784,-0.22396157681941986,0.19945178925991058,0.4780469536781311,0.4255947768688202,-0.047235071659088135,-0.1997290998697281,0.2721549868583679,0.15145805478096008,0.09569352120161057,-0.25944724678993225
IRI_Empathic_concern,0.5409516096115112,0.6255795359611511,1.0,0.4005398154258728,0.38205036520957947,-0.25634661316871643,-0.15117427706718445,0.292865514755249,0.5356738567352295,0.37548473477363586,-0.11562542617321014,-0.23372234404087067,0.36375123262405396,0.19475442171096802,-0.10622769594192505,-0.20539212226867676
IRI_Personal_distress,0.27528777718544006,0.30486780405044556,0.4005398154258728,1.0,0.18993157148361206,-0.12275119870901108,-0.04331114515662193,-0.05761108174920082,0.3331882059574127,0.3190450668334961,-0.16916003823280334,-0.1283954232931137,0.311162531375885,0.10102169215679169,0.029813352972269058,-0.14566843211650848
PANAS_Positive_Affect,0.3526306450366974,0.3651233911514282,0.38205036520957947,0.18993157148361206,1.0,-0.24330121278762817,-0.1627797782421112,0.2038038820028305,0.322031170129776,0.2992607057094574,-0.24962879717350006,0.03637819364666939,0.33427301049232483,-0.02918907254934311,0.04432029649615288,-0.34702691435813904
PANAS_Negative_Affect,-0.23832648992538452,-0.21394604444503784,-0.25634661316871643,-0.12275119870901108,-0.24330121278762817,1.0,0.13902296125888824,-0.06382244825363159,-0.21941377222537994,-0.10362672805786133,0.18432940542697906,0.0077936467714607716,-0.09975685179233551,0.1303722858428955,0.013016439974308014,0.27633991837501526
POM_Peace_of_Mind,-0.29038041830062866,-0.22396157681941986,-0.15117427706718445,-0.04331114515662193,-0.1627797782421112,0.13902296125888824,1.0,0.06252232939004898,-0.23332281410694122,-0.16161733865737915,0.09707539528608322,0.02575838379561901,-0.040157709270715714,-0.12455882877111435,0.008637393824756145,0.3407248854637146
BigFive_Extraversion,0.22847332060337067,0.19945178925991058,0.292865514755249,-0.05761108174920082,0.2038038820028305,-0.06382244825363159,0.06252232939004898,1.0000001192092896,0.06368832290172577,0.04627826064825058,-0.005007995758205652,-0.009478842839598656,0.24115842580795288,0.16627545654773712,0.12638430297374725,-0.12913307547569275
BigFive_Agreeableness,0.37574303150177,0.4780469536781311,0.5356738567352295,0.3331882059574127,0.322031170129776,-0.21941377222537994,-0.23332281410694122,0.06368832290172577,1.0,0.34092533588409424,-0.16434985399246216,-0.20401136577129364,0.14218418300151825,0.14164577424526215,-0.060526292771101,-0.28980594873428345
BigFive_Conscientiousness,0.4388429820537567,0.4255947768688202,0.37548473477363586,0.3190450668334961,0.2992607057094574,-0.10362672805786133,-0.16161733865737915,0.04627826064825058,0.34092533588409424,1.0,-0.18305908143520355,-0.1086697205901146,0.28992173075675964,0.12917403876781464,-0.05323147401213646,-0.2164706289768219
BigFive_Neuroticism,-0.08320474624633789,-0.047235071659088135,-0.11562542617321014,-0.16916003823280334,-0.24962879717350006,0.18432940542697906,0.09707539528608322,-0.005007995758205652,-0.16434985399246216,-0.18305908143520355,1.0000001192092896,0.11213790625333786,-0.11591524630784988,0.02048524096608162,0.18262723088264465,0.2470351904630661
BigFive_Openness,-0.004845784977078438,-0.1997290998697281,-0.23372234404087067,-0.1283954232931137,0.03637819364666939,0.0077936467714607716,0.02575838379561901,-0.009478842839598656,-0.20401136577129364,-0.1086697205901146,0.11213790625333786,1.0,0.05299244821071625,-0.22800378501415253,0.026119159534573555,-0.033674295991659164
SelfConst_Independent_self,0.3886132836341858,0.2721549868583679,0.36375123262405396,0.311162531375885,0.33427301049232483,-0.09975685179233551,-0.040157709270715714,0.24115842580795288,0.14218418300151825,0.28992173075675964,-0.11591524630784988,0.05299244821071625,1.0000001192092896,-0.06596168875694275,0.062152206897735596,-0.2735440731048584
SelfConst_Interdependent_self,0.17696219682693481,0.15145805478096008,0.19475442171096802,0.10102169215679169,-0.02918907254934311,0.1303722858428955,-0.12455882877111435,0.16627545654773712,0.14164577424526215,0.12917403876781464,0.02048524096608162,-0.22800378501415253,-0.06596168875694275,1.0,-0.04515257477760315,-0.008674276992678642
LifeSat_Life_Satisfaction,0.1070316731929779,0.09569352120161057,-0.10622769594192505,0.029813352972269058,0.04432029649615288,0.013016439974308014,0.008637393824756145,0.12638430297374725,-0.060526292771101,-0.05323147401213646,0.18262723088264465,0.026119159534573555,0.062152206897735596,-0.04515257477760315,1.0,0.013642879202961922
Lonely_Loneliness,-0.41352394223213196,-0.25944724678993225,-0.20539212226867676,-0.14566843211650848,-0.34702691435813904,0.27633991837501526,0.3407248854637146,-0.12913307547569275,-0.28980594873428345,-0.2164706289768219,0.2470351904630661,-0.033674295991659164,-0.2735440731048584,-0.008674276992678642,0.013642879202961922,1.0000001192092896
