,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0,0.24259853433599732,0.38682087975943846,0.07404876125133092,0.15571131977972724,0.02022259221160222,0.02538910256457379,0.1484577372088443,0.3098355967896596,0.05415010027048374,-0.07552729449612358,0.13759489945004377,0.07810236573294564,0.3763493765579964,0.016934114436896883,-0.18499379293620513
IRI_Fantasy,0.24259853433599732,1.0,0.37062091961610555,0.3308957665144541,-0.0007664699810815736,0.2238166936468798,-0.1389352237888281,0.08070869478572577,0.08107825652881638,-0.20344525165859495,0.21553175821097054,-0.050456731884954045,0.0054414023548496945,0.18166607648775265,-0.11825753674661492,0.01886612683268792
IRI_Empathic_concern,0.38682087975943846,0.37062091961610555,1.0,0.37826233055658887,0.005608801458759187,0.21016824265139583,-0.09781734614554669,0.13104691989342732,0.47008917240104137,-0.10935901288174758,0.14958593144225496,0.06526404310027607,-0.08030154159325761,0.43741829970017804,-0.09947722987819718,-0.144702481326898
IRI_Personal_distress,0.07404876125133092,0.3308957665144541,0.37826233055658887,1.0,-0.2855822135455922,0.5294570102216241,-0.38838398783435985,-0.05793353535929269,0.25580765690582663,-0.34014249259700197,0.5104295874631224,-0.20019374110714014,-0.18524912818466827,0.31154484142182914,-0.2644579776515124,0.18842654885845006
PANAS_Positive_Affect,0.15571131977972724,-0.0007664699810815736,0.005608801458759187,-0.2855822135455922,1.0,-0.11554865878864311,0.40439802398524816,0.304035391358864,-0.09534335408890898,0.3535661062107319,-0.2395934489048498,0.39993942124856113,0.5018794906994306,0.02702653238416616,0.37544864413492185,-0.3697831339693283
PANAS_Negative_Affect,0.02022259221160222,0.2238166936468798,0.21016824265139583,0.5294570102216241,-0.11554865878864311,1.0,-0.5766884713941555,-0.13238053579979112,-0.057401748072570556,-0.2985335682367622,0.5956331777420659,-0.1167409204094412,-0.22638105363034886,0.08438837165734253,-0.4079942081992174,0.33860007776267187
POM_Peace_of_Mind,0.02538910256457379,-0.1389352237888281,-0.09781734614554669,-0.38838398783435985,0.40439802398524816,-0.5766884713941555,1.0,0.10823774330430319,0.06508227849248076,0.20462407636618452,-0.525213997135656,0.14277607218964655,0.28951925928705624,0.04103846906354321,0.6897377245732463,-0.46731797228577976
BigFive_Extraversion,0.1484577372088443,0.08070869478572577,0.13104691989342732,-0.05793353535929269,0.304035391358864,-0.13238053579979112,0.10823774330430319,1.0,-0.09495783761152422,-0.0749633428742371,0.013526683613174047,0.37402888768519305,0.38306504051284407,0.10873852899290005,0.15147760546080166,-0.45893562669314314
BigFive_Agreeableness,0.3098355967896596,0.08107825652881638,0.47008917240104137,0.25580765690582663,-0.09534335408890898,-0.057401748072570556,0.06508227849248076,-0.09495783761152422,1.0,0.010206914425635804,-0.16045446667397484,-0.04603266627331203,-0.13882791379813522,0.4270687033594729,-0.06816724713299371,-0.12118389815154325
BigFive_Conscientiousness,0.05415010027048374,-0.20344525165859495,-0.10935901288174758,-0.34014249259700197,0.3535661062107319,-0.2985335682367622,0.20462407636618452,-0.0749633428742371,0.010206914425635804,1.0,-0.2594539542198637,0.054626354289583144,0.1737890582742088,-0.001815418535962263,0.2171927893560278,-0.17535953211998112
BigFive_Neuroticism,-0.07552729449612358,0.21553175821097054,0.14958593144225496,0.5104295874631224,-0.2395934489048498,0.5956331777420659,-0.525213997135656,0.013526683613174047,-0.16045446667397484,-0.2594539542198637,1.0,-0.04453878056195146,-0.1533157014938961,0.006202052804937895,-0.2833454572921715,0.23433231960160503
BigFive_Openness,0.13759489945004377,-0.050456731884954045,0.06526404310027607,-0.20019374110714014,0.39993942124856113,-0.1167409204094412,0.14277607218964655,0.37402888768519305,-0.04603266627331203,0.054626354289583144,-0.04453878056195146,1.0,0.3406711029459182,-0.09968517341068107,0.1359975269215463,-0.28421352723895305
SelfConst_Independent_self,0.07810236573294564,0.0054414023548496945,-0.08030154159325761,-0.18524912818466827,0.5018794906994306,-0.22638105363034886,0.28951925928705624,0.38306504051284407,-0.13882791379813522,0.1737890582742088,-0.1533157014938961,0.3406711029459182,1.0,-0.0487859894791837,0.3274941122911161,-0.2617850614373652
SelfConst_Interdependent_self,0.3763493765579964,0.18166607648775265,0.43741829970017804,0.31154484142182914,0.02702653238416616,0.08438837165734253,0.04103846906354321,0.10873852899290005,0.4270687033594729,-0.001815418535962263,0.006202052804937895,-0.09968517341068107,-0.0487859894791837,1.0,0.06736559230642175,-0.1430357729512929
LifeSat_Life_Satisfaction,0.016934114436896883,-0.11825753674661492,-0.09947722987819718,-0.2644579776515124,0.37544864413492185,-0.4079942081992174,0.6897377245732463,0.15147760546080166,-0.06816724713299371,0.2171927893560278,-0.2833454572921715,0.1359975269215463,0.3274941122911161,0.06736559230642175,1.0,-0.41476709355616226
Lonely_Loneliness,-0.18499379293620513,0.01886612683268792,-0.144702481326898,0.18842654885845006,-0.3697831339693283,0.33860007776267187,-0.46731797228577976,-0.45893562669314314,-0.12118389815154325,-0.17535953211998112,0.23433231960160503,-0.28421352723895305,-0.2617850614373652,-0.1430357729512929,-0.41476709355616226,1.0
