,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0000001192092896,0.4649253189563751,0.5453187227249146,0.2417498230934143,0.5801506638526917,-0.21133583784103394,-0.007601649034768343,0.38445717096328735,0.5164642333984375,0.21364828944206238,-0.10510647296905518,0.07871489971876144,0.24081920087337494,0.4100276529788971,-0.0009456546977162361,-0.49099001288414
IRI_Fantasy,0.4649253189563751,1.0000001192092896,0.6648144721984863,0.17559219896793365,0.6048185229301453,-0.06602034717798233,-0.04825446009635925,0.4351417124271393,0.48226651549339294,0.17133665084838867,-0.1457269936800003,-0.05250011011958122,0.3618789315223694,0.4333173930644989,-0.013044573366641998,-0.42138877511024475
IRI_Empathic_concern,0.5453187227249146,0.6648144721984863,1.0,0.1251421868801117,0.6608974933624268,-0.3390488922595978,0.023590171709656715,0.5329505801200867,0.6238591074943542,0.25625085830688477,-0.09765200316905975,-0.010592085309326649,0.4615952670574188,0.42715585231781006,0.0023178751580417156,-0.6104249358177185
IRI_Personal_distress,0.2417498230934143,0.17559219896793365,0.1251421868801117,1.0000001192092896,0.2489309012889862,-0.04951603338122368,0.06413356959819794,0.09600672870874405,0.14295023679733276,0.22352805733680725,0.1012539342045784,-0.00416931277140975,0.02473221719264984,0.2108553946018219,-0.09296372532844543,-0.12487587332725525
PANAS_Positive_Affect,0.5801506638526917,0.6048185229301453,0.6608974933624268,0.2489309012889862,1.0,-0.3609996438026428,0.02705105021595955,0.4379885792732239,0.4492558240890503,0.3125661611557007,-0.14335939288139343,0.004200673196464777,0.36326509714126587,0.41046324372291565,0.05418439581990242,-0.5225716829299927
PANAS_Negative_Affect,-0.21133583784103394,-0.06602034717798233,-0.3390488922595978,-0.04951603338122368,-0.3609996438026428,1.0,0.002207725076004863,-0.23892566561698914,-0.39379554986953735,-0.0408935621380806,0.14204923808574677,-0.22725540399551392,-0.08878754824399948,-0.18251855671405792,-0.11930429935455322,0.4197048246860504
POM_Peace_of_Mind,-0.007601649034768343,-0.04825446009635925,0.023590171709656715,0.06413356959819794,0.02705105021595955,0.002207725076004863,1.0,-0.16333326697349548,-0.1027822494506836,0.1537519097328186,0.006421690806746483,-0.2102210521697998,-0.024814752861857414,0.07331226766109467,0.024080008268356323,0.02784617990255356
BigFive_Extraversion,0.38445717096328735,0.4351417124271393,0.5329505801200867,0.09600672870874405,0.4379885792732239,-0.23892566561698914,-0.16333326697349548,1.0,0.4528857171535492,0.13246417045593262,-0.07077439874410629,0.1773318648338318,0.3499942123889923,0.18921253085136414,-0.05173399671912193,-0.4309941530227661
BigFive_Agreeableness,0.5164642333984375,0.48226651549339294,0.6238591074943542,0.14295023679733276,0.4492558240890503,-0.39379554986953735,-0.1027822494506836,0.4528857171535492,1.0000001192092896,0.05830972641706467,-0.08666185289621353,0.10736295580863953,0.3031454384326935,0.3726191222667694,-0.12046606838703156,-0.4878028631210327
BigFive_Conscientiousness,0.21364828944206238,0.17133665084838867,0.25625085830688477,0.22352805733680725,0.3125661611557007,-0.0408935621380806,0.1537519097328186,0.13246417045593262,0.05830972641706467,1.0000001192092896,0.09804703295230865,-0.1220715343952179,0.19001488387584686,0.1720377802848816,-0.17365361750125885,-0.22830860316753387
BigFive_Neuroticism,-0.10510647296905518,-0.1457269936800003,-0.09765200316905975,0.1012539342045784,-0.14335939288139343,0.14204923808574677,0.006421690806746483,-0.07077439874410629,-0.08666185289621353,0.09804703295230865,1.0,0.07692397385835648,0.05408884584903717,-0.04737911373376846,0.028376176953315735,-0.047974951565265656
BigFive_Openness,0.07871489971876144,-0.05250011011958122,-0.010592085309326649,-0.00416931277140975,0.004200673196464777,-0.22725540399551392,-0.2102210521697998,0.1773318648338318,0.10736295580863953,-0.1220715343952179,0.07692397385835648,1.0,0.0028586608823388815,-0.22581617534160614,0.1771056056022644,-0.17432421445846558
SelfConst_Independent_self,0.24081920087337494,0.3618789315223694,0.4615952670574188,0.02473221719264984,0.36326509714126587,-0.08878754824399948,-0.024814752861857414,0.3499942123889923,0.3031454384326935,0.19001488387584686,0.05408884584903717,0.0028586608823388815,1.0,0.176774263381958,-0.04783284664154053,-0.46156835556030273
SelfConst_Interdependent_self,0.4100276529788971,0.4333173930644989,0.42715585231781006,0.2108553946018219,0.41046324372291565,-0.18251855671405792,0.07331226766109467,0.18921253085136414,0.3726191222667694,0.1720377802848816,-0.04737911373376846,-0.22581617534160614,0.176774263381958,1.0000001192092896,-0.05562211200594902,-0.3357432782649994
LifeSat_Life_Satisfaction,-0.0009456546977162361,-0.013044573366641998,0.0023178751580417156,-0.09296372532844543,0.05418439581990242,-0.11930429935455322,0.024080008268356323,-0.05173399671912193,-0.12046606838703156,-0.17365361750125885,0.028376176953315735,0.1771056056022644,-0.04783284664154053,-0.05562211200594902,1.0,-0.10442805290222168
Lonely_Loneliness,-0.49099001288414,-0.42138877511024475,-0.6104249358177185,-0.12487587332725525,-0.5225716829299927,0.4197048246860504,0.02784617990255356,-0.4309941530227661,-0.4878028631210327,-0.22830860316753387,-0.047974951565265656,-0.17432421445846558,-0.46156835556030273,-0.3357432782649994,-0.10442805290222168,1.0
