model,variant,readout,level,matrix_r,r,slope,rmse,n_pairs,source
qwen14b_instruct,no_scale_name,argmax,item_between,,0.6486746489459496,1.3487727542983792,0.2573339226302891,4375,outputs/prompt_variants/qwen14b_instruct/no_scale_name/argmax/comparison_metrics.csv
qwen14b_instruct,no_scale_name,argmax,subscale,0.7455717826317569,,,0.3375281600744202,116,outputs/prompt_variants/qwen14b_instruct/no_scale_name/argmax/comparison_metrics.csv
qwen14b_instruct,no_scale_name,argmax,subscale_between,,0.7526335774928693,1.4014495317610205,0.3625610978754514,98,outputs/prompt_variants/qwen14b_instruct/no_scale_name/argmax/comparison_metrics.csv
qwen14b_instruct,no_scale_name,argmax,scale,0.8527161861215189,,,0.2782112001332432,21,outputs/prompt_variants/qwen14b_instruct/no_scale_name/argmax/comparison_metrics.csv
qwen14b_instruct,no_scale_name,expected_value,item_between,,0.6087463749074942,1.46398134501034,0.3043799838842886,5331,outputs/prompt_variants/qwen14b_instruct/no_scale_name/expected_value/comparison_metrics.csv
qwen14b_instruct,no_scale_name,expected_value,subscale,0.740076051006888,,,0.3718594127790299,120,outputs/prompt_variants/qwen14b_instruct/no_scale_name/expected_value/comparison_metrics.csv
qwen14b_instruct,no_scale_name,expected_value,subscale_between,,0.7515201874609017,1.4966189780347736,0.3992441852722409,102,outputs/prompt_variants/qwen14b_instruct/no_scale_name/expected_value/comparison_metrics.csv
qwen14b_instruct,no_scale_name,expected_value,scale,0.8323715496768354,,,0.3293353017859409,21,outputs/prompt_variants/qwen14b_instruct/no_scale_name/expected_value/comparison_metrics.csv
qwen14b_instruct,chat_template,argmax,item_between,,0.6337117846796771,1.1971357681280947,0.2406185819796056,3976,outputs/prompt_variants/qwen14b_instruct/chat_template/argmax/comparison_metrics.csv
qwen14b_instruct,chat_template,argmax,subscale,0.7595535494611656,,,0.3062066342572799,112,outputs/prompt_variants/qwen14b_instruct/chat_template/argmax/comparison_metrics.csv
qwen14b_instruct,chat_template,argmax,subscale_between,,0.7656130518703285,1.3299142351796354,0.3288608051911935,94,outputs/prompt_variants/qwen14b_instruct/chat_template/argmax/comparison_metrics.csv
qwen14b_instruct,chat_template,argmax,scale,0.8543585917870351,,,0.2583428093735617,20,outputs/prompt_variants/qwen14b_instruct/chat_template/argmax/comparison_metrics.csv
qwen14b_instruct,chat_template,expected_value,item_between,,0.5563401866717124,1.1574387250166025,0.2675950668663182,5331,outputs/prompt_variants/qwen14b_instruct/chat_template/expected_value/comparison_metrics.csv
qwen14b_instruct,chat_template,expected_value,subscale,0.728985844120652,,,0.3338342065460278,120,outputs/prompt_variants/qwen14b_instruct/chat_template/expected_value/comparison_metrics.csv
qwen14b_instruct,chat_template,expected_value,subscale_between,,0.7357166450175479,1.338471021824088,0.357525779086362,102,outputs/prompt_variants/qwen14b_instruct/chat_template/expected_value/comparison_metrics.csv
qwen14b_instruct,chat_template,expected_value,scale,0.8323806673491945,,,0.2820294903855863,21,outputs/prompt_variants/qwen14b_instruct/chat_template/expected_value/comparison_metrics.csv
