model,size,family,mtype,repr_mantel_r,repr_corrected_slope,reliability,snr_est,hidden_dim
llama1b_instruct,1.0,llama,instruct,-0.0057370184994762,0.1137745027992988,0.1762121245078742,0.21390473172794172,2048
llama1b_base,1.0,llama,base,0.0663686292637612,0.4759085595253433,0.2172664004564285,0.277573877731991,2048
llama3b_instruct,3.0,llama,instruct,-0.0525024820393697,-0.0874716499317661,0.21237677693367,0.26964260412085966,3072
llama3b_base,3.0,llama,base,-0.150850037003579,-0.6457797540712942,0.257704306449741,0.3471720349301643,3072
llama8b_instruct,8.0,llama,instruct,0.3683505638887989,1.028337917625722,0.1991106670722365,0.24861196033709113,4096
llama8b_base,8.0,llama,base,-0.0606525733479076,-0.4297217291057337,0.1212935537286102,0.13803649016494013,4096
qwen05b_instruct,0.5,qwen,instruct,0.1002220410789455,0.4438144336538965,0.1354898805823177,0.1567244587878059,896
qwen05b_base,0.5,qwen,base,0.0356635841961657,-0.1585985604869935,0.1058914022240787,0.11843237218329139,896
qwen3b_instruct,3.0,qwen,instruct,0.0321514472828273,0.0550553346811283,0.0639463178021833,0.06831479755737929,2048
qwen3b_base,3.0,qwen,base,0.0517148262610377,0.2828437544552781,0.0627855528518557,0.06699166134592383,2048
qwen7b_instruct,7.0,qwen,instruct,0.4200886908030926,1.2215396360218975,0.2551777927111834,0.34260228845759183,3584
qwen7b_base,7.0,qwen,base,0.0074969335304551,0.1996985107396117,0.1167322473879903,0.13215952585474602,3584
qwen14b_instruct,14.0,qwen,instruct,0.6598967881659276,1.5826005638693286,0.580378342680633,1.3830991145409754,5120
qwen14b_base,14.0,qwen,base,0.1341631560578215,0.5913338222460486,0.2337658031284809,0.3050840122810107,5120
