model,size,mtype,family,layer,probe,slope,mantel_r,n_pairs,elapsed_sec
qwen05b_instruct,0.5,instruct,qwen,8,ridge,1.4700710840597715,0.7336763711692855,120,17.85802125930786
qwen05b_instruct,0.5,instruct,qwen,8,lasso,0.5866516333506484,0.36387081351103906,120,4.860008478164673
qwen05b_instruct,0.5,instruct,qwen,8,pls10,0.8452140277813185,0.8531846894829845,120,2.8313024044036865
qwen05b_instruct,0.5,instruct,qwen,8,svr,0.49564338256165147,0.3800578643372799,120,212.42548322677612
llama1b_instruct,1.0,instruct,llama,8,ridge,1.4399431564746819,0.8134412947875839,120,27.35373544692993
llama1b_instruct,1.0,instruct,llama,8,lasso,1.2667614126914444,0.7613145308860011,120,23.4623019695282
llama1b_instruct,1.0,instruct,llama,8,pls10,1.1447675180409633,0.8822023276664547,120,5.3487629890441895
llama1b_instruct,1.0,instruct,llama,8,svr,0.9083097245290278,0.6664760507440683,120,263.68444442749023
qwen3b_instruct,3.0,instruct,qwen,14,ridge,1.3835349641130719,0.8076964496721025,120,27.402167797088623
qwen3b_instruct,3.0,instruct,qwen,14,lasso,1.2706382379708978,0.787315183620349,120,28.07925271987915
qwen3b_instruct,3.0,instruct,qwen,14,pls10,1.0673430026348942,0.8831106765350504,120,5.519780397415161
qwen3b_instruct,3.0,instruct,qwen,14,svr,0.963452969452883,0.6841298824400288,120,848.8221349716187
llama3b_instruct,3.0,instruct,llama,14,ridge,1.6283763352009697,0.8394306620165659,120,50.43009161949158
llama3b_instruct,3.0,instruct,llama,14,lasso,1.3407007019728934,0.8111539100771524,120,190.86715006828308
llama3b_instruct,3.0,instruct,llama,14,pls10,1.078922920168377,0.8798672356505373,120,14.561497688293457
llama3b_instruct,3.0,instruct,llama,14,svr,1.389831175059787,0.8233199879868524,120,526.2520563602448
qwen7b_instruct,7.0,instruct,qwen,18,ridge,1.653034945028018,0.8171309201195638,120,52.542344093322754
qwen7b_instruct,7.0,instruct,qwen,18,lasso,1.4632218591986887,0.8193966821301191,120,783.20188331604
qwen7b_instruct,7.0,instruct,qwen,18,pls10,1.0850342887596311,0.8860296180416567,120,15.914481401443481
qwen7b_instruct,7.0,instruct,qwen,18,svr,1.0489785681850303,0.876901999041496,120,2244.1323902606964
llama8b_instruct,8.0,instruct,llama,16,ridge,1.6974305347200247,0.8266095876666354,120,61.501972913742065
llama8b_instruct,8.0,instruct,llama,16,lasso,1.42444972012325,0.8341285352102441,120,198.30584383010864
llama8b_instruct,8.0,instruct,llama,16,pls10,1.0984368654466958,0.8751955953566487,120,17.65601396560669
llama8b_instruct,8.0,instruct,llama,16,svr,1.4224395127702685,0.809856178271265,120,661.7307949066162
llama8b_base,8.0,base,llama,14,ridge,1.633774303399859,0.8221608861826759,120,61.22038388252258
llama8b_base,8.0,base,llama,14,lasso,1.5440883314250111,0.8322903712715205,120,81.68736267089844
llama8b_base,8.0,base,llama,14,pls10,1.057533011345988,0.8848768732573445,120,17.636760711669922
llama8b_base,8.0,base,llama,14,svr,1.3520168685477907,0.7589892674315757,120,560.0517840385437
qwen14b_instruct,14.0,instruct,qwen,32,ridge,1.7689246677710202,0.8398090218507019,120,72.34267592430115
qwen14b_instruct,14.0,instruct,qwen,32,lasso,1.570321275849982,0.8100427799014097,120,1517.0728917121887
qwen14b_instruct,14.0,instruct,qwen,32,pls10,1.0631558895488236,0.8805109205137518,120,20.70738172531128
qwen14b_instruct,14.0,instruct,qwen,32,svr,0.8852061587103491,0.8580452749196068,120,3282.8462924957275
qwen14b_base,14.0,base,qwen,28,ridge,1.6980745067879752,0.8176306064839923,120,71.05509066581726
qwen14b_base,14.0,base,qwen,28,lasso,1.5861028226916203,0.81909050921988,120,912.3260352611542
qwen14b_base,14.0,base,qwen,28,pls10,1.0485638721344053,0.8907006065278601,120,21.22237253189087
qwen14b_base,14.0,base,qwen,28,svr,1.0973169310301167,0.8583230153288474,120,3289.5201880931854
