model,family,mtype,size,group,n_subscales,n_pairs,slope,mantel_r
qwen05b_instruct,qwen,instruct,0.5,stable,8,28,1.2732393370926656,0.6129299402267563
qwen05b_instruct,qwen,instruct,0.5,ambiguous,5,10,2.0664542635196392,0.9495974856456907
qwen05b_instruct,qwen,instruct,0.5,specific,3,3,1.7043037773971215,0.9910814597650217
llama1b_instruct,llama,instruct,1.0,stable,8,28,1.3387890443363015,0.7274484658154443
llama1b_instruct,llama,instruct,1.0,ambiguous,5,10,1.8538982750098052,0.9464437762615023
llama1b_instruct,llama,instruct,1.0,specific,3,3,1.6227945242773414,0.9859183378052766
qwen3b_instruct,qwen,instruct,3.0,stable,8,28,1.3159769836606179,0.702134498418922
qwen3b_instruct,qwen,instruct,3.0,ambiguous,5,10,1.6477381346177844,0.8964874794583538
qwen3b_instruct,qwen,instruct,3.0,specific,3,3,1.7704710287530963,0.9602657758648441
llama3b_instruct,llama,instruct,3.0,stable,8,28,1.5741943351601475,0.7688311652069486
llama3b_instruct,llama,instruct,3.0,ambiguous,5,10,2.017270604227428,0.9610439743429928
llama3b_instruct,llama,instruct,3.0,specific,3,3,2.0677131426486044,0.9851320095101751
qwen7b_instruct,qwen,instruct,7.0,stable,8,28,1.5592199348939275,0.7089485431459868
qwen7b_instruct,qwen,instruct,7.0,ambiguous,5,10,2.054609191001257,0.9686401954588191
qwen7b_instruct,qwen,instruct,7.0,specific,3,3,1.8476919853963925,0.9734335577580323
llama8b_instruct,llama,instruct,8.0,stable,8,28,1.6125339733996422,0.7517901366279653
llama8b_instruct,llama,instruct,8.0,ambiguous,5,10,2.1086728257662237,0.9620724907479998
llama8b_instruct,llama,instruct,8.0,specific,3,3,2.0391066828323856,0.9652255791933926
llama8b_base,llama,base,8.0,stable,8,28,1.5763602878499712,0.7387351609488236
llama8b_base,llama,base,8.0,ambiguous,5,10,1.966441202615035,0.9480244927176447
llama8b_base,llama,base,8.0,specific,3,3,1.8015111390628653,0.9543535586060797
qwen14b_instruct,qwen,instruct,14.0,stable,8,28,1.7759284245484621,0.7779522918830981
qwen14b_instruct,qwen,instruct,14.0,ambiguous,5,10,2.1003694143922718,0.9652331109998047
qwen14b_instruct,qwen,instruct,14.0,specific,3,3,2.330058677388922,0.9579135285758462
qwen14b_base,qwen,base,14.0,stable,8,28,1.6902285534069774,0.7552438767085908
qwen14b_base,qwen,base,14.0,ambiguous,5,10,2.071629624352876,0.9469708561435409
qwen14b_base,qwen,base,14.0,specific,3,3,2.285824495133516,0.9810259134738325
