model,family,mtype,size,group,n_pairs_cross_scale,slope_cross_scale_only
qwen05b_instruct,qwen,instruct,0.5,stable,21,1.5216461128003083
qwen05b_instruct,qwen,instruct,0.5,ambiguous,9,2.209324832802553
qwen05b_instruct,qwen,instruct,0.5,specific,2,1.9322597491811575
llama1b_instruct,llama,instruct,1.0,stable,21,1.4396774832861658
llama1b_instruct,llama,instruct,1.0,ambiguous,9,2.0278458061897062
llama1b_instruct,llama,instruct,1.0,specific,2,1.896606324222595
qwen3b_instruct,qwen,instruct,3.0,stable,21,1.4668822591473072
qwen3b_instruct,qwen,instruct,3.0,ambiguous,9,1.9035120115302828
qwen3b_instruct,qwen,instruct,3.0,specific,2,2.28234039393851
llama3b_instruct,llama,instruct,3.0,stable,21,1.6762128768527083
llama3b_instruct,llama,instruct,3.0,ambiguous,9,2.172580625814896
llama3b_instruct,llama,instruct,3.0,specific,2,2.4264191153423615
qwen7b_instruct,qwen,instruct,7.0,stable,21,1.717949292556683
qwen7b_instruct,qwen,instruct,7.0,ambiguous,9,2.135703563153342
qwen7b_instruct,qwen,instruct,7.0,specific,2,2.280029709130386
llama8b_instruct,llama,instruct,8.0,stable,21,1.7622705289263134
llama8b_instruct,llama,instruct,8.0,ambiguous,9,2.203887216944533
llama8b_instruct,llama,instruct,8.0,specific,2,2.5884820709656875
llama8b_base,llama,base,8.0,stable,21,1.6961438597080312
llama8b_base,llama,base,8.0,ambiguous,9,2.164697427821469
llama8b_base,llama,base,8.0,specific,2,2.362371311680785
qwen14b_instruct,qwen,instruct,14.0,stable,21,1.8746055487954518
qwen14b_instruct,qwen,instruct,14.0,ambiguous,9,2.1650785062049493
qwen14b_instruct,qwen,instruct,14.0,specific,2,3.024651801002462
qwen14b_base,qwen,base,14.0,stable,21,1.806621370990173
qwen14b_base,qwen,base,14.0,ambiguous,9,2.108635169470633
qwen14b_base,qwen,base,14.0,specific,2,2.7352004564164534
