model,group,dropped_pair,slope_full,slope_loo,delta_slope
qwen05b_instruct,stable,BigFive_Extraversion × BigFive_Agreeableness,1.2732393370926656,1.2923243063333905,-0.01908496924072489
qwen05b_instruct,stable,BigFive_Extraversion × BigFive_Conscientiousness,1.2732393370926656,1.326570376322772,-0.053331039230106514
qwen05b_instruct,stable,BigFive_Extraversion × BigFive_Neuroticism,1.2732393370926656,1.2705836612476178,0.002655675845047778
qwen05b_instruct,stable,BigFive_Extraversion × IRI_Empathic_concern,1.2732393370926656,1.2771728510043991,-0.003933513911733577
qwen05b_instruct,stable,BigFive_Extraversion × IRI_Perspective_taking,1.2732393370926656,1.2407590174768273,0.032480319615838305
qwen05b_instruct,stable,BigFive_Extraversion × PANAS_Negative_Affect,1.2732393370926656,1.2405752525326277,0.03266408456003789
qwen05b_instruct,stable,BigFive_Extraversion × LifeSat_Life_Satisfaction,1.2732393370926656,1.2182005851435607,0.0550387519491049
qwen05b_instruct,stable,BigFive_Agreeableness × BigFive_Conscientiousness,1.2732393370926656,1.2743621030299488,-0.001122765937283221
qwen05b_instruct,stable,BigFive_Agreeableness × BigFive_Neuroticism,1.2732393370926656,1.2539779844073258,0.019261352685339794
qwen05b_instruct,stable,BigFive_Agreeableness × IRI_Empathic_concern,1.2732393370926656,1.3337450316883501,-0.060505694595684556
qwen05b_instruct,stable,BigFive_Agreeableness × IRI_Perspective_taking,1.2732393370926656,1.3618009125798214,-0.08856157548715582
qwen05b_instruct,stable,BigFive_Agreeableness × PANAS_Negative_Affect,1.2732393370926656,1.2635765148186453,0.009662822274020266
qwen05b_instruct,stable,BigFive_Agreeableness × LifeSat_Life_Satisfaction,1.2732393370926656,1.2857674951745286,-0.012528158081863028
qwen05b_instruct,stable,BigFive_Conscientiousness × BigFive_Neuroticism,1.2732393370926656,1.237501205791682,0.03573813130098347
qwen05b_instruct,stable,BigFive_Conscientiousness × IRI_Empathic_concern,1.2732393370926656,1.2537052204007104,0.01953411669195515
qwen05b_instruct,stable,BigFive_Conscientiousness × IRI_Perspective_taking,1.2732393370926656,1.2597700827432359,0.013469254349429693
qwen05b_instruct,stable,BigFive_Conscientiousness × PANAS_Negative_Affect,1.2732393370926656,1.1937860013010593,0.0794533357916063
qwen05b_instruct,stable,BigFive_Conscientiousness × LifeSat_Life_Satisfaction,1.2732393370926656,1.2237740247385025,0.04946531235416307
qwen05b_instruct,stable,BigFive_Neuroticism × IRI_Empathic_concern,1.2732393370926656,1.296851075574935,-0.023611738482269384
qwen05b_instruct,stable,BigFive_Neuroticism × IRI_Perspective_taking,1.2732393370926656,1.259736520577328,0.013502816515337468
qwen05b_instruct,stable,BigFive_Neuroticism × PANAS_Negative_Affect,1.2732393370926656,1.1719063128840312,0.10133302420863433
qwen05b_instruct,stable,BigFive_Neuroticism × LifeSat_Life_Satisfaction,1.2732393370926656,1.2307664308303092,0.042472906262356336
qwen05b_instruct,stable,IRI_Empathic_concern × IRI_Perspective_taking,1.2732393370926656,1.4875706696943112,-0.2143313326016456
qwen05b_instruct,stable,IRI_Empathic_concern × PANAS_Negative_Affect,1.2732393370926656,1.3055192113553804,-0.032279874262714836
qwen05b_instruct,stable,IRI_Empathic_concern × LifeSat_Life_Satisfaction,1.2732393370926656,1.3083653023213377,-0.035125965228672174
qwen05b_instruct,stable,IRI_Perspective_taking × PANAS_Negative_Affect,1.2732393370926656,1.270815836112874,0.002423500979791493
qwen05b_instruct,stable,IRI_Perspective_taking × LifeSat_Life_Satisfaction,1.2732393370926656,1.2774649654683554,-0.004225628375689849
qwen05b_instruct,stable,PANAS_Negative_Affect × LifeSat_Life_Satisfaction,1.2732393370926656,1.224640767868768,0.04859856922389749
qwen05b_instruct,ambiguous,BigFive_Openness × PANAS_Positive_Affect,2.0664542635196392,2.088708252253715,-0.02225398873407558
qwen05b_instruct,ambiguous,BigFive_Openness × Lonely_Loneliness,2.0664542635196392,2.0246741126704015,0.041780150849237696
qwen05b_instruct,ambiguous,BigFive_Openness × IRI_Personal_distress,2.0664542635196392,1.985363273321267,0.08109099019837229
qwen05b_instruct,ambiguous,BigFive_Openness × IRI_Fantasy,2.0664542635196392,2.0729570620340287,-0.006502798514389507
qwen05b_instruct,ambiguous,PANAS_Positive_Affect × Lonely_Loneliness,2.0664542635196392,2.1958980580854863,-0.1294437945658471
qwen05b_instruct,ambiguous,PANAS_Positive_Affect × IRI_Personal_distress,2.0664542635196392,2.0646345877709864,0.001819675748652827
qwen05b_instruct,ambiguous,PANAS_Positive_Affect × IRI_Fantasy,2.0664542635196392,2.073611258302466,-0.007156994782826942
qwen05b_instruct,ambiguous,Lonely_Loneliness × IRI_Personal_distress,2.0664542635196392,1.9320626234938154,0.13439164002582382
qwen05b_instruct,ambiguous,Lonely_Loneliness × IRI_Fantasy,2.0664542635196392,2.0623501519180585,0.004104111601580751
qwen05b_instruct,ambiguous,IRI_Personal_distress × IRI_Fantasy,2.0664542635196392,2.209324832802553,-0.14287056928291397
qwen05b_instruct,specific,POM_Peace_of_Mind × SelfConst_Independent_self,1.7043037773971215,0.8400255073710757,0.8642782700260457
qwen05b_instruct,specific,POM_Peace_of_Mind × SelfConst_Interdependent_self,1.7043037773971215,1.642257303962793,0.06204647343432845
qwen05b_instruct,specific,SelfConst_Independent_self × SelfConst_Interdependent_self,1.7043037773971215,1.9322597491811575,-0.22795597178403604
llama1b_instruct,stable,BigFive_Extraversion × BigFive_Agreeableness,1.3387890443363015,1.3631667723658023,-0.024377728029500778
llama1b_instruct,stable,BigFive_Extraversion × BigFive_Conscientiousness,1.3387890443363015,1.3716434414430152,-0.03285439710671367
llama1b_instruct,stable,BigFive_Extraversion × BigFive_Neuroticism,1.3387890443363015,1.3350578943290086,0.0037311500072929604
llama1b_instruct,stable,BigFive_Extraversion × IRI_Empathic_concern,1.3387890443363015,1.327990296847387,0.010798747488914628
llama1b_instruct,stable,BigFive_Extraversion × IRI_Perspective_taking,1.3387890443363015,1.3137356425851794,0.02505340175112214
llama1b_instruct,stable,BigFive_Extraversion × PANAS_Negative_Affect,1.3387890443363015,1.307739382997975,0.03104966133832643
llama1b_instruct,stable,BigFive_Extraversion × LifeSat_Life_Satisfaction,1.3387890443363015,1.2935647938354855,0.04522425050081602
llama1b_instruct,stable,BigFive_Agreeableness × BigFive_Conscientiousness,1.3387890443363015,1.3383770241410744,0.0004120201952271252
llama1b_instruct,stable,BigFive_Agreeableness × BigFive_Neuroticism,1.3387890443363015,1.3317631397901855,0.0070259045461160685
llama1b_instruct,stable,BigFive_Agreeableness × IRI_Empathic_concern,1.3387890443363015,1.3959715469820546,-0.057182502645753086
llama1b_instruct,stable,BigFive_Agreeableness × IRI_Perspective_taking,1.3387890443363015,1.4449773865587354,-0.1061883422224339
llama1b_instruct,stable,BigFive_Agreeableness × PANAS_Negative_Affect,1.3387890443363015,1.340700820659532,-0.001911776323230585
llama1b_instruct,stable,BigFive_Agreeableness × LifeSat_Life_Satisfaction,1.3387890443363015,1.3473117058771795,-0.008522661540877996
llama1b_instruct,stable,BigFive_Conscientiousness × BigFive_Neuroticism,1.3387890443363015,1.2889546778485093,0.04983436648779227
llama1b_instruct,stable,BigFive_Conscientiousness × IRI_Empathic_concern,1.3387890443363015,1.3448293909903963,-0.006040346654094808
llama1b_instruct,stable,BigFive_Conscientiousness × IRI_Perspective_taking,1.3387890443363015,1.332075591309188,0.0067134530271135695
llama1b_instruct,stable,BigFive_Conscientiousness × PANAS_Negative_Affect,1.3387890443363015,1.28018001879987,0.05860902553643155
llama1b_instruct,stable,BigFive_Conscientiousness × LifeSat_Life_Satisfaction,1.3387890443363015,1.294844547190635,0.04394449714566662
llama1b_instruct,stable,BigFive_Neuroticism × IRI_Empathic_concern,1.3387890443363015,1.3645018878636503,-0.025712843527348817
llama1b_instruct,stable,BigFive_Neuroticism × IRI_Perspective_taking,1.3387890443363015,1.3391943719736707,-0.00040532763736922384
llama1b_instruct,stable,BigFive_Neuroticism × PANAS_Negative_Affect,1.3387890443363015,1.3195104559071713,0.019278588429130217
llama1b_instruct,stable,BigFive_Neuroticism × LifeSat_Life_Satisfaction,1.3387890443363015,1.2854907420457264,0.053298302290575084
llama1b_instruct,stable,IRI_Empathic_concern × IRI_Perspective_taking,1.3387890443363015,1.437916663403275,-0.09912761906697343
llama1b_instruct,stable,IRI_Empathic_concern × PANAS_Negative_Affect,1.3387890443363015,1.3707727677774197,-0.03198372344111822
llama1b_instruct,stable,IRI_Empathic_concern × LifeSat_Life_Satisfaction,1.3387890443363015,1.3678976585502975,-0.02910861421399602
