model,family,mtype,n_layers,best_layer,fixed_60pct_target,fixed_60pct_nearest,mantel_r_best,mantel_r_fixed,mantel_r_delta,slope_best,slope_fixed,slope_delta
llama1b_instruct,llama,instruct,16,6,10,10,-0.0057370184994762,-0.0395719024788603,-0.0338348839793841,-0.0037141472959198,-0.027340129474303,-0.0236259821783832
llama1b_base,llama,base,16,12,10,10,0.0663686292637612,0.0656888152719327,-0.0006798139918285095,0.0704513153701428,0.0650168717108005,-0.0054344436593423
llama3b_instruct,llama,instruct,28,14,17,16,-0.0525024820393697,-0.0790252280079706,-0.0265227459686009,-0.0393831945177673,-0.06172240916813,-0.022339214650362704
llama3b_base,llama,base,28,20,17,16,-0.150850037003579,-0.1599173209681694,-0.009067283964590417,-0.1752240588992767,-0.1747928749684827,0.0004311839307939991
llama8b_instruct,llama,instruct,32,18,19,18,0.3683505638887989,0.3683505638887989,0.0,0.2326010540311057,0.2326010540311057,0.0
llama8b_base,llama,base,32,12,19,18,-0.0606525733479076,-0.0974171337839645,-0.036764560436056894,-0.0875691628898671,-0.1257911895630222,-0.03822202667315511
qwen05b_instruct,qwen,instruct,24,6,14,14,0.1002220410789455,0.030727659276246,-0.0694943818026995,0.0823923465469058,0.0255588587710829,-0.05683348777582291
qwen05b_base,qwen,base,24,10,14,14,0.0356635841961657,0.0287778649800764,-0.006885719216089301,0.030645979046369,0.0245433607942394,-0.006102618252129599
qwen3b_instruct,qwen,instruct,36,22,22,22,0.0321514472828273,0.0321514472828273,0.0,0.019196161786702,0.019196161786702,0.0
qwen3b_base,qwen,base,36,18,22,22,0.0517148262610377,0.0348171473568996,-0.016897678904138097,0.0297325832717123,0.0208207760548968,-0.008911807216815497
qwen7b_instruct,qwen,instruct,28,20,17,16,0.4200886908030926,0.2938214781946043,-0.12626721260848828,0.3837264607900413,0.2471539463722251,-0.1365725144178162
qwen7b_base,qwen,base,28,14,17,16,0.0074969335304551,0.0049086243146765,-0.0025883092157786003,0.0061895169268202,0.0043878515983302,-0.00180166532849
qwen14b_instruct,qwen,instruct,48,36,29,28,0.6598967881659276,0.5101359734794804,-0.1497608146864472,0.7653350468172546,0.6426064671098667,-0.12272857970738793
qwen14b_base,qwen,base,48,24,29,28,0.1341631560578215,0.1214795404083045,-0.012683615649517005,0.1029537381601632,0.095665239697269,-0.0072884984628941996
