model,family,mtype,best_layer,layers_adj1,layers_adj2,n_adj1,n_adj2,slope_best,mantel_best,slope_min_adj1,slope_max_adj1,slope_spread_adj1,slope_min_adj2,slope_max_adj2,slope_spread_adj2,mantel_spread_adj1,mantel_spread_adj2
llama1b_instruct,llama,instruct,6,"[4, 6, 8]","[4, 6, 8, 10]",3,4,-0.0037141472959198,-0.0057370184994762,-0.0129742233419126,-0.0037141472959198,0.0092600760459928,-0.027340129474303,-0.0037141472959198,0.0236259821783832,0.0142969113482907,0.0338348839793841
llama1b_base,llama,base,12,"[10, 12, 14]","[8, 10, 12, 14]",3,4,0.0704513153701428,0.0663686292637612,0.0342883074897532,0.0704513153701428,0.036163007880389605,0.0185449254100567,0.0704513153701428,0.051906389960086105,0.038867226659082606,0.046615927620062204
llama3b_instruct,llama,instruct,14,"[12, 14, 16]","[10, 12, 14, 16, 18]",3,5,-0.0393831945177673,-0.0525024820393697,-0.06172240916813,-0.0393831945177673,0.022339214650362704,-0.06172240916813,-0.0393831945177673,0.022339214650362704,0.0265227459686009,0.0265227459686009
llama3b_base,llama,base,20,"[18, 20]","[16, 18, 20]",2,3,-0.1752240588992767,-0.150850037003579,-0.1882316494654514,-0.1752240588992767,0.013007590566174704,-0.1882316494654514,-0.1747928749684827,0.013438774496968703,0.014661280617316808,0.014661280617316808
llama8b_instruct,llama,instruct,18,"[16, 18, 20]","[14, 16, 18, 20, 22]",3,5,0.2326010540311057,0.3683505638887989,0.2131231928098416,0.2351948838664558,0.02207169105661419,0.2131231928098416,0.2351948838664558,0.02207169105661419,0.03453685211273971,0.05035928559052211
llama8b_base,llama,base,12,"[12, 14]","[12, 14, 16]",2,3,-0.0875691628898671,-0.0606525733479076,-0.1083461191785759,-0.0875691628898671,0.020776956288708792,-0.1121217288481516,-0.0875691628898671,0.024552565958284492,0.0185537386670347,0.023212815082695203
qwen05b_instruct,qwen,instruct,6,"[6, 8]","[6, 8, 10]",2,3,0.0823923465469058,0.1002220410789455,0.0530138722585816,0.0823923465469058,0.029378474288324206,0.026395087663772,0.0823923465469058,0.0559972588831338,0.0334204217731259,0.0676500972051888
qwen05b_base,qwen,base,10,"[8, 10, 12]","[6, 8, 10, 12, 14]",3,5,0.030645979046369,0.0356635841961657,0.0219148535576205,0.030645979046369,0.0087311254887485,0.0124447429751788,0.030645979046369,0.0182012360711902,0.011324698708873,0.0210206572093409
qwen3b_instruct,qwen,instruct,22,"[18, 22, 26]","[14, 18, 22, 26]",3,4,0.019196161786702,0.0321514472828273,0.0038958410311324,0.019196161786702,0.0153003207555696,-0.0057583697567983,0.019196161786702,0.0249545315435003,0.025510379905062903,0.0427859354909806
qwen3b_base,qwen,base,18,"[14, 18, 22]","[10, 14, 18, 22, 26]",3,5,0.0297325832717123,0.0517148262610377,0.0153367577845906,0.0297325832717123,0.014395825487121698,0.0153367577845906,0.0297325832717123,0.014395825487121698,0.023878154195458398,0.023878154195458398
qwen7b_instruct,qwen,instruct,20,"[18, 20]","[16, 18, 20]",2,3,0.3837264607900413,0.4200886908030926,0.2653104771583103,0.3837264607900413,0.118415983631731,0.2471539463722251,0.3837264607900413,0.1365725144178162,0.11696046185461068,0.12626721260848828
qwen7b_base,qwen,base,14,"[12, 14, 16]","[10, 12, 14, 16, 18]",3,5,0.0061895169268202,0.0074969335304551,0.0037655120332695,0.0061895169268202,0.0024240048935507004,-0.0059918115592691,0.0061895169268202,0.0121813284860893,0.0028822914329232003,0.0142942810619113
qwen14b_instruct,qwen,instruct,36,"[32, 36]","[28, 32, 36]",2,3,0.7653350468172546,0.6598967881659276,0.7653350468172546,0.7754730186686797,0.010137971851425065,0.6426064671098667,0.7754730186686797,0.132866551558813,0.041797439155905836,0.1497608146864472
qwen14b_base,qwen,base,24,"[20, 24, 28]","[16, 20, 24, 28, 32]",3,5,0.1029537381601632,0.1341631560578215,0.0768883487857477,0.1029537381601632,0.026065389374415507,0.0485839830312205,0.1029537381601632,0.0543697551289427,0.021308819670262907,0.062441459357092804
