model,pair_type,n,mean_abs_diff,mean_signed_diff
llama1b_instruct,affect_affect,20,0.2328854345613604,0.0016933150179309047
llama1b_instruct,affect_cognitive,24,0.141373395145964,0.08977376005957734
llama1b_instruct,affect_social,32,0.2288392464308232,0.07990809264246508
llama1b_instruct,cognitive_cognitive,4,0.21096276240468653,0.1938606485676537
llama1b_instruct,cognitive_social,14,0.14417472557953873,0.10057378803310749
llama1b_instruct,social_social,8,0.2032282396560167,0.06608927973215506
llama1b_instruct,within_scale,18,0.18763464030517812,0.028234197061919073
llama3b_instruct,affect_affect,20,0.25464751900403093,-0.013457173812364854
llama3b_instruct,affect_cognitive,24,0.18589415407111617,0.10783958466944309
llama3b_instruct,affect_social,32,0.2596840160799708,0.09959662805413033
llama3b_instruct,cognitive_cognitive,4,0.15865772409786616,0.15685158055701198
llama3b_instruct,cognitive_social,14,0.1768019993608109,0.13469794412596187
llama3b_instruct,social_social,8,0.18716426535489702,0.08332979122056246
llama3b_instruct,within_scale,18,0.24028192515532132,0.06655598436442196
llama8b_base,affect_affect,20,0.26794008841955946,-0.0012628551945296912
llama8b_base,affect_cognitive,24,0.2046969820545773,0.10454803687413855
llama8b_base,affect_social,32,0.27121974635514134,0.09675427610075404
llama8b_base,cognitive_cognitive,4,0.22835159961932394,0.11799284955131269
llama8b_base,cognitive_social,14,0.1921037399502757,0.1508663238065011
llama8b_base,social_social,8,0.20842383766346817,0.1496874979172822
llama8b_base,within_scale,18,0.2456882156421472,0.059330866767938674
llama8b_instruct,affect_affect,20,0.30639708126190957,-0.008823466505754
llama8b_instruct,affect_cognitive,24,0.2182209345996647,0.10134076846158369
llama8b_instruct,affect_social,32,0.27599000447807476,0.09380573219390033
llama8b_instruct,cognitive_cognitive,4,0.16566753813434226,0.1223595472786584
llama8b_instruct,cognitive_social,14,0.1896733097362208,0.13899308957364398
llama8b_instruct,social_social,8,0.19192564074748852,0.14378681135699192
llama8b_instruct,within_scale,18,0.2371379267193055,0.06168908663813693
qwen05b_instruct,affect_affect,20,0.20843997550201704,-0.0004900770984792469
qwen05b_instruct,affect_cognitive,24,0.1447116516053487,0.11379563608968964
qwen05b_instruct,affect_social,32,0.2036405074515053,0.09301533992678444
qwen05b_instruct,cognitive_cognitive,4,0.2384826642227283,0.20778748416766896
qwen05b_instruct,cognitive_social,14,0.17282853848046656,0.14816595481924724
qwen05b_instruct,social_social,8,0.15825827255726063,0.09065023651699072
qwen05b_instruct,within_scale,18,0.20559764429952954,0.05612901064125358
qwen14b_base,affect_affect,20,0.32003147123051157,-0.015340476978102435
qwen14b_base,affect_cognitive,24,0.21915572629639177,0.1005305595210461
qwen14b_base,affect_social,32,0.30952023340118173,0.07770793134053751
qwen14b_base,cognitive_cognitive,4,0.22727162947389484,0.16255818580100956
qwen14b_base,cognitive_social,14,0.18222217341397545,0.10237574054628143
qwen14b_base,social_social,8,0.18018818725374358,0.0811698580024037
qwen14b_base,within_scale,18,0.2500049560942227,0.05387244594201673
qwen14b_instruct,affect_affect,20,0.33787423964334606,-0.010940426228318544
qwen14b_instruct,affect_cognitive,24,0.2011531542956169,0.10962794883762457
qwen14b_instruct,affect_social,32,0.30603453041710993,0.07619656137010909
qwen14b_instruct,cognitive_cognitive,4,0.2061314250701327,0.16717700979819633
qwen14b_instruct,cognitive_social,14,0.2041964369431209,0.14221965788731294
qwen14b_instruct,social_social,8,0.20718307979296066,0.0774650761776345
qwen14b_instruct,within_scale,18,0.23379603982443087,0.06609051707084937
qwen3b_instruct,affect_affect,20,0.23404652135947818,0.018358998603959384
qwen3b_instruct,affect_cognitive,24,0.1808036149890753,0.13300959347157823
qwen3b_instruct,affect_social,32,0.2342882154384226,0.10118335508191831
qwen3b_instruct,cognitive_cognitive,4,0.22646867896413744,0.18946322695082254
qwen3b_instruct,cognitive_social,14,0.17753900442265927,0.1501881420515411
qwen3b_instruct,social_social,8,0.19020917348878183,0.10303777245123567
qwen3b_instruct,within_scale,18,0.2113822716700519,0.09358313755674554
qwen7b_instruct,affect_affect,20,0.2877916925630952,-0.013844472265867394
qwen7b_instruct,affect_cognitive,24,0.19618750418153033,0.08966836206351377
qwen7b_instruct,affect_social,32,0.2840233630220335,0.0820450142596659
qwen7b_instruct,cognitive_cognitive,4,0.18600545171390412,0.1550766479024587
qwen7b_instruct,cognitive_social,14,0.1737620255110339,0.11318825665751356
qwen7b_instruct,social_social,8,0.1847850177353627,0.058060876301325934
qwen7b_instruct,within_scale,18,0.24758269872455013,0.05576990405398308
