model,scope,n,mean_abs_diff,mean_signed_diff
llama1b_instruct,cross_scale,102,0.24873525437217292,0.025048950632578327
llama1b_instruct,within_scale,18,0.23472666929012542,-0.05523992068998784
llama3b_instruct,cross_scale,102,0.2694491721507326,0.025952919376582957
llama3b_instruct,within_scale,18,0.25861010831498427,-0.03336007216498
llama8b_base,cross_scale,102,0.2884222232362153,0.021321015919666602
llama8b_base,within_scale,18,0.30190053377868575,-0.0662653537400015
llama8b_instruct,cross_scale,102,0.3010927008914029,0.020166948392200068
llama8b_instruct,within_scale,18,0.30393786977420784,-0.055501507141798426
qwen05b_instruct,cross_scale,102,0.31339086371369135,-0.012311984177283972
qwen05b_instruct,within_scale,18,0.3669530313605868,-0.11099036103599133
qwen14b_base,cross_scale,102,0.3039180454715621,0.01407680626952148
qwen14b_base,within_scale,18,0.31821581921433467,-0.07749838832854689
qwen14b_instruct,cross_scale,102,0.3014994922232875,0.01765645642941048
qwen14b_instruct,within_scale,18,0.29658025764003365,-0.05255191116155477
qwen3b_instruct,cross_scale,102,0.23469454068956153,0.046914410262077426
qwen3b_instruct,within_scale,18,0.24063449099129264,-0.04657018491677843
qwen7b_instruct,cross_scale,102,0.2955627159683367,0.02458524487121009
qwen7b_instruct,within_scale,18,0.31270070915114795,-0.05300110389535194
