model,family,mtype,size,sub_i,sub_j,scope,human_r,pred_r,signed_diff,abs_diff
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,IRI_Fantasy,within_scale,0.24259853433599732,-0.6591292349374248,-0.9017277692734221,0.9017277692734221
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,IRI_Empathic_concern,within_scale,0.38682087975943846,-0.316282313312578,-0.7031031930720164,0.7031031930720164
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,IRI_Personal_distress,within_scale,0.07404876125133092,-0.43330656470957546,-0.5073553259609064,0.5073553259609064
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,PANAS_Positive_Affect,cross_scale,0.15571131977972724,0.39666619409811094,0.2409548743183837,0.2409548743183837
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,PANAS_Negative_Affect,cross_scale,0.02022259221160222,-0.5014616270063323,-0.5216842192179345,0.5216842192179345
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,POM_Peace_of_Mind,cross_scale,0.02538910256457379,0.4168419297851004,0.3914528272205266,0.3914528272205266
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,BigFive_Extraversion,cross_scale,0.1484577372088443,0.5298790827285484,0.38142134551970414,0.38142134551970414
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,BigFive_Agreeableness,cross_scale,0.3098355967896596,-0.06373878604204392,-0.3735743828317035,0.3735743828317035
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,BigFive_Conscientiousness,cross_scale,0.05415010027048374,0.7451290886687177,0.690978988398234,0.690978988398234
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,BigFive_Neuroticism,cross_scale,-0.07552729449612358,-0.3187619183150306,-0.243234623818907,0.243234623818907
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,BigFive_Openness,cross_scale,0.13759489945004377,0.28571234448222194,0.14811744503217816,0.14811744503217816
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,SelfConst_Independent_self,cross_scale,0.07810236573294564,0.19846072506003304,0.1203583593270874,0.1203583593270874
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,SelfConst_Interdependent_self,cross_scale,0.3763493765579964,0.25623929116683425,-0.12011008539116214,0.12011008539116214
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,LifeSat_Life_Satisfaction,cross_scale,0.016934114436896883,0.5673443287299459,0.550410214293049,0.550410214293049
qwen05b_instruct,qwen,instruct,0.5,IRI_Perspective_taking,Lonely_Loneliness,cross_scale,-0.18499379293620513,-0.17684770741698624,0.008146085519218887,0.008146085519218887
qwen05b_instruct,qwen,instruct,0.5,IRI_Fantasy,IRI_Empathic_concern,within_scale,0.37062091961610555,0.5883897147497659,0.21776879513366032,0.21776879513366032
qwen05b_instruct,qwen,instruct,0.5,IRI_Fantasy,IRI_Personal_distress,within_scale,0.3308957665144541,0.440783608897022,0.10988784238256788,0.10988784238256788
qwen05b_instruct,qwen,instruct,0.5,IRI_Fantasy,PANAS_Positive_Affect,cross_scale,-0.0007664699810815736,-0.2323140240108161,-0.23154755402973454,0.23154755402973454
qwen05b_instruct,qwen,instruct,0.5,IRI_Fantasy,PANAS_Negative_Affect,cross_scale,0.2238166936468798,0.603470488104271,0.3796537944573911,0.3796537944573911
qwen05b_instruct,qwen,instruct,0.5,IRI_Fantasy,POM_Peace_of_Mind,cross_scale,-0.1389352237888281,-0.36012432405713685,-0.22118910026830874,0.22118910026830874
qwen05b_instruct,qwen,instruct,0.5,IRI_Fantasy,BigFive_Extraversion,cross_scale,0.08070869478572577,-0.14832936314601702,-0.2290380579317428,0.2290380579317428
qwen05b_instruct,qwen,instruct,0.5,IRI_Fantasy,BigFive_Agreeableness,cross_scale,0.08107825652881638,0.10515108735045701,0.024072830821640634,0.024072830821640634
