model,hf_id,size_B,family,is_instruct,embedding,n,n_pairs,r_TH,p_TH,r_ST,p_ST,r_SH,p_SH,r_partial,p_partial,drop_TH_to_partial
qwen05b_base_v2,Qwen/Qwen2.5-0.5B,0.5,Qwen,False,model_internal,16,112,0.14214433703362095,0.13490383558270852,0.29767478466464586,0.0014349052303884815,0.06336300344948065,0.5068723283979308,0.1293969048941088,0.17390284575143652,0.012747432139512155
qwen05b_base_v2,Qwen/Qwen2.5-0.5B,0.5,Qwen,False,e5,16,112,0.14214433703362095,0.13490383558270852,0.22256391275237117,0.018342257142446756,0.18061081706488913,0.05669364561084719,0.10631813314852448,0.26454698651469116,0.03582620388509647
qwen05b_instruct_v3,Qwen/Qwen2.5-0.5B-Instruct,0.5,Qwen,True,model_internal,16,120,0.306889434190254,0.0006513661583039934,0.16422359082613835,0.0730786765486888,0.062311546532980565,0.49897613010267494,0.30132505695543443,0.0008246521858024603,0.005564377234819562
qwen05b_instruct_v3,Qwen/Qwen2.5-0.5B-Instruct,0.5,Qwen,True,e5,16,120,0.306889434190254,0.0006513661583039934,0.1633704172496792,0.07460259264986013,0.16532556275549712,0.07114768080112271,0.2876499177658789,0.0014441662525739173,0.019239516424375103
llama1b_base_v2,meta-llama/Llama-3.2-1B,1.0,Llama,False,model_internal,16,111,0.3784252477650375,4.218073779812673e-05,0.37815361532400815,4.276327786278197e-05,0.07274903001172911,0.44797911470078894,0.38007015906827096,3.880868887144996e-05,-0.001644911303233465
llama1b_base_v2,meta-llama/Llama-3.2-1B,1.0,Llama,False,e5,16,111,0.3784252477650375,4.218073779812673e-05,0.2039724797258753,0.031770558241094045,0.13500750763181224,0.15772399850360697,0.36173452015906,9.582637465499922e-05,0.016690727605977507
llama1b_instruct_v3,meta-llama/Llama-3.2-1B-Instruct,1.0,Llama,True,model_internal,16,120,0.4931224469289504,1.0529582970334203e-08,0.3159650151682123,0.0004389247419888499,0.09054347815499719,0.32536420297221197,0.49161474372611075,1.185430907877527e-08,0.0015077032028396609
llama1b_instruct_v3,meta-llama/Llama-3.2-1B-Instruct,1.0,Llama,True,e5,16,120,0.4931224469289504,1.0529582970334203e-08,0.2186695455865351,0.016419877932587208,0.16532556275549712,0.07114768080112271,0.4748384554256865,4.2665590986038473e-08,0.01828399150326393
qwen3b_base_v2,Qwen/Qwen2.5-3B,3.0,Qwen,False,model_internal,16,120,0.5692799307238003,1.1650342536253973e-11,0.1303944914966022,0.1557482230198597,0.10045817127798612,0.27496058458548905,0.5638224130779813,2.0122478762384996e-11,0.005457517645819032
qwen3b_base_v2,Qwen/Qwen2.5-3B,3.0,Qwen,False,e5,16,120,0.5692799307238003,1.1650342536253973e-11,0.09850698743041209,0.2844388227381023,0.16532556275549712,0.07114768080112271,0.5634505339670477,2.0878389541683974e-11,0.005829396756752647
qwen3b_instruct_v3,Qwen/Qwen2.5-3B-Instruct,3.0,Qwen,True,model_internal,16,120,0.5548275537732119,4.8478270268026545e-11,0.017983397973466035,0.8454304890461145,0.10038372922145423,0.27531824750795353,0.5559198237127576,4.362978556060366e-11,-0.001092269939545698
qwen3b_instruct_v3,Qwen/Qwen2.5-3B-Instruct,3.0,Qwen,True,e5,16,120,0.5548275537732119,4.8478270268026545e-11,0.006963157314917947,0.9398327430495156,0.16532556275549712,0.07114768080112271,0.5614153998098488,2.5526528694094716e-11,-0.0065878460366368685
llama3b_base_v2,meta-llama/Llama-3.2-3B,3.0,Llama,False,model_internal,16,120,0.598056422112205,5.492059884907457e-13,0.07865770957329316,0.3931286437643646,0.08629175220758861,0.3486895726088932,0.5953271667966411,7.434209989250166e-13,0.0027292553155638943
llama3b_base_v2,meta-llama/Llama-3.2-3B,3.0,Llama,False,e5,16,120,0.598056422112205,5.492059884907457e-13,-0.028205223407308126,0.7597572361199024,0.16532556275549712,0.07114768080112271,0.6113724187587604,1.2021196169719425e-13,-0.013315996646555361
llama3b_instruct_v3,meta-llama/Llama-3.2-3B-Instruct,3.0,Llama,True,model_internal,16,120,0.6420033448393223,2.744416001878031e-15,0.030385868341858323,0.7418136342422774,0.08508763095353794,0.3554814818697867,0.6420416576963246,2.7307410361528627e-15,-3.831285700228726e-05
llama3b_instruct_v3,meta-llama/Llama-3.2-3B-Instruct,3.0,Llama,True,e5,16,120,0.6420033448393223,2.744416001878031e-15,0.03641875126947405,0.6929146754664324,0.16532556275549712,0.07114768080112271,0.6452843008957402,1.784651943647536e-15,-0.003280956056417872
qwen7b_base_v2,Qwen/Qwen2.5-7B,7.0,Qwen,False,model_internal,16,120,0.7106876534394735,9.719542306982621e-20,0.08168283882466755,0.3751283243875478,0.07507307066757785,0.41511391832408623,0.7089182691238751,1.3134349493332388e-19,0.0017693843155983657
qwen7b_base_v2,Qwen/Qwen2.5-7B,7.0,Qwen,False,e5,16,120,0.7106876534394735,9.719542306982621e-20,0.11930059814808484,0.19434437505654117,0.16532556275549712,0.07114768080112271,0.7056447976424552,2.279157007945732e-19,0.005042855797018242
qwen7b_instruct_v3,Qwen/Qwen2.5-7B-Instruct,7.0,Qwen,True,model_internal,16,120,0.7766751721888374,1.934851473115265e-25,0.11517544057239013,0.21033272950046097,0.07509384683272013,0.41498446283348067,0.7753607875944659,2.622800386062327e-25,0.0013143845943714982
qwen7b_instruct_v3,Qwen/Qwen2.5-7B-Instruct,7.0,Qwen,True,e5,16,120,0.7766751721888374,1.934851473115265e-25,0.15916677012198124,0.0824891786865993,0.16532556275549712,0.07114768080112271,0.7706551250276734,7.66542324422565e-25,0.006020047161163999
llama8b_base_v2,meta-llama/Llama-3.1-8B,8.0,Llama,False,model_internal,16,120,0.7144084019378882,5.1221125532024075e-20,0.07975903405442074,0.38651650038029134,0.08758879170986436,0.34146526823147116,0.7124213698750124,7.22046643283057e-20,0.001987032062875871
llama8b_base_v2,meta-llama/Llama-3.1-8B,8.0,Llama,False,e5,16,120,0.7144084019378882,5.1221125532024075e-20,0.10333892996415184,0.2613599923776393,0.16532556275549712,0.07114768080112271,0.7108593639189856,9.43851652552745e-20,0.003549038018902606
llama8b_instruct_v3,meta-llama/Llama-3.1-8B-Instruct,8.0,Llama,True,model_internal,16,120,0.7783625538249939,1.3053173325676012e-25,0.03770409039548863,0.6826498033337779,0.08803016764318192,0.33902859999364093,0.7786176872825266,1.2295340866140007e-25,-0.0002551334575326969
llama8b_instruct_v3,meta-llama/Llama-3.1-8B-Instruct,8.0,Llama,True,e5,16,120,0.7783625538249939,1.3053173325676012e-25,0.11677715975456443,0.20401668191235456,0.16532556275549712,0.07114768080112271,0.7749494798075156,2.883534846737835e-25,0.003413074017478257
qwen14b_base_v2,Qwen/Qwen2.5-14B,14.0,Qwen,False,model_internal,16,120,0.7316858993605728,2.2767300801665582e-21,0.031771109090656696,0.7304859421401574,0.06005619928470204,0.5146688001956679,0.7314667458281312,2.3720010102779905e-21,0.00021915353244161828
qwen14b_base_v2,Qwen/Qwen2.5-14B,14.0,Qwen,False,e5,16,120,0.7316858993605728,2.2767300801665582e-21,0.10632138120781771,0.24777075099495238,0.16532556275549712,0.07114768080112271,0.7281997490998713,4.3497298877179396e-21,0.003486150260701537
qwen14b_instruct_v3,Qwen/Qwen2.5-14B-Instruct,14.0,Qwen,True,model_internal,16,116,0.7935920171318102,2.3573414567158124e-26,0.03006838210757689,0.7486562554551786,0.06484072678395542,0.4892380339888083,0.7936706491397139,2.3122437511283072e-26,-7.863200790370062e-05
qwen14b_instruct_v3,Qwen/Qwen2.5-14B-Instruct,14.0,Qwen,True,e5,16,116,0.7935920171318102,2.3573414567158124e-26,0.10554058405732378,0.25951040057889363,0.1726883553607238,0.0637791443343424,0.7916139338983085,3.8217809610545123e-26,0.001978083233501682
