model,hf_id,size_B,family,is_instruct,embedding,n,n_pairs,r_TH,p_TH,r_ST,p_ST,r_SH,p_SH,r_partial,p_partial,drop_TH_to_partial,best_layer
qwen05b_base_v2,Qwen/Qwen2.5-0.5B,0.5,Qwen,False,model_internal,16,120,0.035663584196165776,0.6989717366903156,0.07020259677822256,0.4461064125223287,0.061581477243864834,0.5040283081445535,0.031477663040743786,0.7328808279940912,0.00418592115542199,10
qwen05b_base_v2,Qwen/Qwen2.5-0.5B,0.5,Qwen,False,e5,16,120,0.035663584196165776,0.6989717366903156,0.09441260190659298,0.3050301074849416,0.16532556275549712,0.07114768080112271,0.020425830039274534,0.824753867699254,0.015237754156891242,10
qwen05b_instruct_v3,Qwen/Qwen2.5-0.5B-Instruct,0.5,Qwen,True,model_internal,16,120,0.10022204107894553,0.2760961707622591,-0.014571812207383468,0.8744853339827712,0.062311546532980565,0.49897613010267494,0.10133769653871495,0.2707585405847859,-0.001115655459769424,6
qwen05b_instruct_v3,Qwen/Qwen2.5-0.5B-Instruct,0.5,Qwen,True,e5,16,120,0.10022204107894553,0.2760961707622591,-0.052044823709173745,0.5723881424741254,0.16532556275549712,0.07114768080112271,0.11049457865050985,0.22958796568641418,-0.010272537571564322,6
llama1b_base_v2,meta-llama/Llama-3.2-1B,1.0,Llama,False,model_internal,16,120,0.06636862926376125,0.47139155822023077,-0.056134219897823454,0.5425485004628258,0.09531012364162207,0.3004348319813655,0.07216055288445893,0.433493724888854,-0.005791923620697678,12
llama1b_base_v2,meta-llama/Llama-3.2-1B,1.0,Llama,False,e5,16,120,0.06636862926376125,0.47139155822023077,0.00616492996949352,0.9467192801963135,0.16532556275549712,0.07114768080112271,0.06626248556286742,0.47210250242968016,0.00010614370089383207,12
llama1b_instruct_v3,meta-llama/Llama-3.2-1B-Instruct,1.0,Llama,True,model_internal,16,120,-0.005737018499476318,0.9504126470000872,-0.1203539517902151,0.19040673800976285,0.09054347815499719,0.32536420297221197,0.005219470118789059,0.9548810814315323,-0.010956488618265377,6
llama1b_instruct_v3,meta-llama/Llama-3.2-1B-Instruct,1.0,Llama,True,e5,16,120,-0.005737018499476318,0.9504126470000872,-0.032508601849132145,0.7244785678277992,0.16532556275549712,0.07114768080112271,-0.0003677681514059859,0.9968192177304085,-0.005369250348070332,6
qwen3b_base_v2,Qwen/Qwen2.5-3B,3.0,Qwen,False,model_internal,16,120,0.05171482626103771,0.5748292289441778,-0.09731617050792858,0.29032945272364263,0.10045817127798612,0.27496058458548905,0.062098427261708014,0.5004481931815226,-0.010383601000670303,18
qwen3b_base_v2,Qwen/Qwen2.5-3B,3.0,Qwen,False,e5,16,120,0.05171482626103771,0.5748292289441778,-0.08034906653855245,0.3830017929612747,0.16532556275549712,0.07114768080112271,0.06611928114732933,0.4730626006303992,-0.01440445488629162,18
qwen3b_instruct_v3,Qwen/Qwen2.5-3B-Instruct,3.0,Qwen,True,model_internal,16,120,0.03215144728282737,0.7273857668785055,0.08439852478438557,0.35940523502615257,0.10038372922145423,0.27531824750795353,0.023884642876274287,0.7956803824714577,0.008266804406553085,22
qwen3b_instruct_v3,Qwen/Qwen2.5-3B-Instruct,3.0,Qwen,True,e5,16,120,0.03215144728282737,0.7273857668785055,0.05147002463404593,0.5766432320782032,0.16532556275549712,0.07114768080112271,0.024003830371217366,0.7946832659387902,0.008147616911610006,22
llama3b_base_v2,meta-llama/Llama-3.2-3B,3.0,Llama,False,model_internal,16,120,-0.15085003700357905,0.10005058429599022,0.11798170018432652,0.19935741330235818,0.08629175220758861,0.3486895726088932,-0.16277062078106058,0.07568919716518416,0.011920583777481536,20
llama3b_base_v2,meta-llama/Llama-3.2-3B,3.0,Llama,False,e5,16,120,-0.15085003700357905,0.10005058429599022,0.14912456166095545,0.10403854353133347,0.16532556275549712,0.07114768080112271,-0.17996523703056344,0.049197560506204364,0.029115200026984395,20
