,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0000001192092896,0.9609582424163818,0.9655477404594421,0.94757080078125,0.8969138264656067,0.9020070433616638,0.9322571158409119,0.8965337872505188,0.908536970615387,0.892290472984314,0.9029097557067871,0.9003401398658752,0.9649128913879395,0.9646051526069641,0.9259276986122131,0.9326533079147339
IRI_Fantasy,0.9609582424163818,1.0,0.9586039781570435,0.9446783661842346,0.9080430269241333,0.9009256958961487,0.9436455965042114,0.9044668078422546,0.9061445593833923,0.901714026927948,0.9115577340126038,0.901598334312439,0.965773344039917,0.9520634412765503,0.9357471466064453,0.9249626398086548
IRI_Empathic_concern,0.9655477404594421,0.9586039781570435,1.0,0.9694927930831909,0.9065542817115784,0.9108452200889587,0.9487645030021667,0.9031109809875488,0.907989501953125,0.8955637812614441,0.9109943509101868,0.9101176857948303,0.967492401599884,0.9680445194244385,0.9389309287071228,0.9302058815956116
IRI_Personal_distress,0.94757080078125,0.9446783661842346,0.9694927930831909,1.0,0.8940738439559937,0.9084287881851196,0.9437198042869568,0.8924094438552856,0.8897929191589355,0.8820379972457886,0.913995087146759,0.8993183374404907,0.9500274062156677,0.9509256482124329,0.9239038228988647,0.9151970148086548
PANAS_Positive_Affect,0.8969138264656067,0.9080430269241333,0.9065542817115784,0.8940738439559937,1.0,0.9647826552391052,0.917505145072937,0.9601778388023376,0.9516832232475281,0.9446923732757568,0.9442999362945557,0.915400505065918,0.9274539947509766,0.9128214716911316,0.9042066335678101,0.8926402926445007
PANAS_Negative_Affect,0.9020070433616638,0.9009256958961487,0.9108452200889587,0.9084287881851196,0.9647826552391052,1.0000001192092896,0.9123143553733826,0.9477927088737488,0.9521247148513794,0.946333646774292,0.9571177363395691,0.911409318447113,0.9109229445457458,0.9023207426071167,0.8779857754707336,0.9018697142601013
POM_Peace_of_Mind,0.9322571158409119,0.9436455965042114,0.9487645030021667,0.9437198042869568,0.917505145072937,0.9123143553733826,0.9999999403953552,0.9333577752113342,0.9135099053382874,0.9163597822189331,0.9423949718475342,0.9237831234931946,0.9669126868247986,0.9509149193763733,0.9617297649383545,0.9227475523948669
BigFive_Extraversion,0.8965337872505188,0.9044668078422546,0.9031109809875488,0.8924094438552856,0.9601778388023376,0.9477927088737488,0.9333577752113342,0.9999999403953552,0.9660760760307312,0.9636139273643494,0.9745157957077026,0.9371989369392395,0.9318158626556396,0.9141017198562622,0.9038817286491394,0.902492880821228
BigFive_Agreeableness,0.908536970615387,0.9061445593833923,0.907989501953125,0.8897929191589355,0.9516832232475281,0.9521247148513794,0.9135099053382874,0.9660760760307312,1.0000001192092896,0.9629616737365723,0.9635234475135803,0.929185152053833,0.9248401522636414,0.9112412333488464,0.8876578211784363,0.9040041565895081
BigFive_Conscientiousness,0.892290472984314,0.901714026927948,0.8955637812614441,0.8820379972457886,0.9446923732757568,0.946333646774292,0.9163597822189331,0.9636139273643494,0.9629616737365723,1.0,0.9632138013839722,0.9221601486206055,0.9240279197692871,0.9055802822113037,0.8921321630477905,0.8950098752975464
BigFive_Neuroticism,0.9029097557067871,0.9115577340126038,0.9109943509101868,0.913995087146759,0.9442999362945557,0.9571177363395691,0.9423949718475342,0.9745157957077026,0.9635234475135803,0.9632138013839722,1.0,0.9261568784713745,0.9264810681343079,0.9083752036094666,0.9020335078239441,0.9106043577194214
BigFive_Openness,0.9003401398658752,0.901598334312439,0.9101176857948303,0.8993183374404907,0.915400505065918,0.911409318447113,0.9237831234931946,0.9371989369392395,0.929185152053833,0.9221601486206055,0.9261568784713745,1.0,0.9283683896064758,0.9161356091499329,0.9034733772277832,0.9056702256202698
SelfConst_Independent_self,0.9649128913879395,0.965773344039917,0.967492401599884,0.9500274062156677,0.9274539947509766,0.9109229445457458,0.9669126868247986,0.9318158626556396,0.9248401522636414,0.9240279197692871,0.9264810681343079,0.9283683896064758,0.9999999403953552,0.9817094802856445,0.9632782936096191,0.9331015348434448
SelfConst_Interdependent_self,0.9646051526069641,0.9520634412765503,0.9680445194244385,0.9509256482124329,0.9128214716911316,0.9023207426071167,0.9509149193763733,0.9141017198562622,0.9112412333488464,0.9055802822113037,0.9083752036094666,0.9161356091499329,0.9817094802856445,1.0,0.9482966661453247,0.9274455904960632
LifeSat_Life_Satisfaction,0.9259276986122131,0.9357471466064453,0.9389309287071228,0.9239038228988647,0.9042066335678101,0.8779857754707336,0.9617297649383545,0.9038817286491394,0.8876578211784363,0.8921321630477905,0.9020335078239441,0.9034733772277832,0.9632782936096191,0.9482966661453247,1.0,0.8973439931869507
Lonely_Loneliness,0.9326533079147339,0.9249626398086548,0.9302058815956116,0.9151970148086548,0.8926402926445007,0.9018697142601013,0.9227475523948669,0.902492880821228,0.9040041565895081,0.8950098752975464,0.9106043577194214,0.9056702256202698,0.9331015348434448,0.9274455904960632,0.8973439931869507,1.0
