,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0,0.9480878114700316,0.939026653766632,0.903266191482544,0.7536314725875854,0.7539628148078918,0.8895449638366699,0.6817139387130737,0.7396450042724609,0.730831503868103,0.7327627539634705,0.7822268605232239,0.9533263444900512,0.9465748071670532,0.9034368991851808,0.8801231980323792
IRI_Fantasy,0.9480878114700316,0.9999998807907104,0.9385342001914978,0.893606424331665,0.769608736038208,0.7637678384780884,0.8964636921882629,0.6884514689445496,0.750034511089325,0.7428754568099976,0.7323122620582581,0.7823880910873413,0.9523254632949828,0.9442065358161926,0.9006766080856323,0.890653133392334
IRI_Empathic_concern,0.939026653766632,0.9385342001914978,1.0,0.9100435376167296,0.753014087677002,0.7569686770439148,0.890579104423523,0.6662032604217529,0.7261981964111328,0.7169963717460632,0.7318968772888184,0.7658553719520569,0.9392525553703308,0.93528151512146,0.8966122269630432,0.8826211094856262
IRI_Personal_distress,0.903266191482544,0.893606424331665,0.9100435376167296,1.0000001192092896,0.726509153842926,0.7508610486984253,0.8556046485900879,0.6622126698493958,0.7051757574081421,0.6757689118385315,0.7632350325584412,0.7613610625267029,0.8969849348068237,0.9010325074195862,0.8675984144210815,0.8354824781417847
PANAS_Positive_Affect,0.7536314725875854,0.769608736038208,0.753014087677002,0.726509153842926,0.9999999403953552,0.870109498500824,0.7820618152618408,0.7865386009216309,0.7817625999450684,0.7872292995452881,0.7504404187202454,0.7482485771179199,0.77667236328125,0.800807535648346,0.7438777685165405,0.7298461198806763
PANAS_Negative_Affect,0.7539628148078918,0.7637678384780884,0.7569686770439148,0.7508610486984253,0.870109498500824,0.9999999403953552,0.8067788481712341,0.7707843780517578,0.7842042446136475,0.7891864776611328,0.781915545463562,0.7449712753295898,0.7786625027656555,0.7977681159973145,0.7414950132369995,0.7352734208106995
POM_Peace_of_Mind,0.8895449638366699,0.8964636921882629,0.890579104423523,0.8556046485900879,0.7820618152618408,0.8067788481712341,1.0,0.7398212552070618,0.7701511383056641,0.7836657762527466,0.7856884598731995,0.7610708475112915,0.9197012186050416,0.9050412774086,0.8746589422225952,0.8482142090797424
BigFive_Extraversion,0.6817139387130737,0.6884514689445496,0.6662032604217529,0.6622126698493958,0.7865386009216309,0.7707843780517578,0.7398212552070618,1.0000001192092896,0.8121793270111084,0.7980688810348511,0.7631093263626099,0.6893131136894226,0.7076056599617004,0.707450270652771,0.6698072552680969,0.6481613516807556
BigFive_Agreeableness,0.7396450042724609,0.750034511089325,0.7261981964111328,0.7051757574081421,0.7817625999450684,0.7842042446136475,0.7701511383056641,0.8121793270111084,0.9999999403953552,0.7981538772583008,0.7393661141395569,0.7090126872062683,0.7689158916473389,0.7633792757987976,0.7174012064933777,0.7073956727981567
BigFive_Conscientiousness,0.730831503868103,0.7428754568099976,0.7169963717460632,0.6757689118385315,0.7872292995452881,0.7891864776611328,0.7836657762527466,0.7980688810348511,0.7981538772583008,1.0,0.7215439081192017,0.7433661222457886,0.7624838948249817,0.7570322751998901,0.724945068359375,0.7120591998100281
BigFive_Neuroticism,0.7327627539634705,0.7323122620582581,0.7318968772888184,0.7632350325584412,0.7504404187202454,0.781915545463562,0.7856884598731995,0.7631093263626099,0.7393661141395569,0.7215439081192017,1.0000001192092896,0.7228091359138489,0.7507671117782593,0.7588150501251221,0.7097886800765991,0.7055075168609619
BigFive_Openness,0.7822268605232239,0.7823880910873413,0.7658553719520569,0.7613610625267029,0.7482485771179199,0.7449712753295898,0.7610708475112915,0.6893131136894226,0.7090126872062683,0.7433661222457886,0.7228091359138489,0.9999999403953552,0.8026047945022583,0.8127567172050476,0.7639129757881165,0.7496764659881592
SelfConst_Independent_self,0.9533263444900512,0.9523254632949828,0.9392525553703308,0.8969849348068237,0.77667236328125,0.7786625027656555,0.9197012186050416,0.7076056599617004,0.7689158916473389,0.7624838948249817,0.7507671117782593,0.8026047945022583,1.0000001192092896,0.9599080085754396,0.9128456711769104,0.8893660306930542
SelfConst_Interdependent_self,0.9465748071670532,0.9442065358161926,0.93528151512146,0.9010325074195862,0.800807535648346,0.7977681159973145,0.9050412774086,0.707450270652771,0.7633792757987976,0.7570322751998901,0.7588150501251221,0.8127567172050476,0.9599080085754396,1.0,0.9058086276054382,0.8887665271759033
LifeSat_Life_Satisfaction,0.9034368991851808,0.9006766080856323,0.8966122269630432,0.8675984144210815,0.7438777685165405,0.7414950132369995,0.8746589422225952,0.6698072552680969,0.7174012064933777,0.724945068359375,0.7097886800765991,0.7639129757881165,0.9128456711769104,0.9058086276054382,1.0000001192092896,0.8280096650123596
Lonely_Loneliness,0.8801231980323792,0.890653133392334,0.8826211094856262,0.8354824781417847,0.7298461198806763,0.7352734208106995,0.8482142090797424,0.6481613516807556,0.7073956727981567,0.7120591998100281,0.7055075168609619,0.7496764659881592,0.8893660306930542,0.8887665271759033,0.8280096650123596,1.0
