,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0,0.89907306432724,0.8738734126091003,0.8012473583221436,0.5172775387763977,0.5075716376304626,0.7767087817192078,0.5143487453460693,0.5678006410598755,0.5584327578544617,0.503929078578949,0.5788650512695312,0.899818480014801,0.8909928798675537,0.796847403049469,0.749894380569458
IRI_Fantasy,0.89907306432724,1.0,0.8766874670982361,0.7938235402107239,0.5622785687446594,0.538163423538208,0.7950003147125244,0.5377263426780701,0.59228515625,0.5844531655311584,0.5166592001914978,0.5919715166091919,0.9001204967498779,0.8864120244979858,0.8004868626594543,0.7583380341529846
IRI_Empathic_concern,0.8738734126091003,0.8766874670982361,1.0,0.8226723670959473,0.5167533755302429,0.5133602619171143,0.7733099460601807,0.49356845021247864,0.5414352416992188,0.5377485156059265,0.5012149214744568,0.5586193203926086,0.8762767910957336,0.8719629645347595,0.7884347438812256,0.7554045915603638
IRI_Personal_distress,0.8012473583221436,0.7938235402107239,0.8226723670959473,1.0,0.48459070920944214,0.5057309865951538,0.732388436794281,0.5045958757400513,0.519564688205719,0.5025416612625122,0.5532544851303101,0.550939679145813,0.8046073913574219,0.8028711676597595,0.7529792189598083,0.653043806552887
PANAS_Positive_Affect,0.5172775387763977,0.5622785687446594,0.5167533755302429,0.48459070920944214,1.0,0.8281509280204773,0.6210870146751404,0.7563605308532715,0.7219207286834717,0.7274344563484192,0.6104479432106018,0.6258125901222229,0.5712296366691589,0.6320220232009888,0.5081347227096558,0.48579102754592896
PANAS_Negative_Affect,0.5075716376304626,0.538163423538208,0.5133602619171143,0.5057309865951538,0.8281509280204773,0.9999999403953552,0.6620205044746399,0.7445391416549683,0.7199604511260986,0.7353227138519287,0.6713030934333801,0.6037982106208801,0.5674848556518555,0.612642765045166,0.5021482706069946,0.48019158840179443
POM_Peace_of_Mind,0.7767087817192078,0.7950003147125244,0.7733099460601807,0.732388436794281,0.6210870146751404,0.6620205044746399,1.0000001192092896,0.6314991116523743,0.6433387994766235,0.6745850443840027,0.6308581233024597,0.603455662727356,0.8396816253662109,0.8309193849563599,0.7672510147094727,0.690485954284668
BigFive_Extraversion,0.5143487453460693,0.5377263426780701,0.49356845021247864,0.5045958757400513,0.7563605308532715,0.7445391416549683,0.6314991116523743,1.0000001192092896,0.7626311182975769,0.7515840530395508,0.6975927352905273,0.615299642086029,0.5682395100593567,0.6028522849082947,0.4974474012851715,0.4606342911720276
BigFive_Agreeableness,0.5678006410598755,0.59228515625,0.5414352416992188,0.519564688205719,0.7219207286834717,0.7199604511260986,0.6433387994766235,0.7626311182975769,1.0,0.7479557394981384,0.6454193592071533,0.6191985011100769,0.6262168884277344,0.6490721106529236,0.5277982950210571,0.514018714427948
BigFive_Conscientiousness,0.5584327578544617,0.5844531655311584,0.5377485156059265,0.5025416612625122,0.7274344563484192,0.7353227138519287,0.6745850443840027,0.7515840530395508,0.7479557394981384,1.0000001192092896,0.6304891705513,0.6511510610580444,0.6261531114578247,0.6473196148872375,0.5433650612831116,0.5222128033638
BigFive_Neuroticism,0.503929078578949,0.5166592001914978,0.5012149214744568,0.5532544851303101,0.6104479432106018,0.6713030934333801,0.6308581233024597,0.6975927352905273,0.6454193592071533,0.6304891705513,1.0000001192092896,0.5554880499839783,0.5563387274742126,0.5748258829116821,0.48186227679252625,0.455401211977005
BigFive_Openness,0.5788650512695312,0.5919715166091919,0.5586193203926086,0.550939679145813,0.6258125901222229,0.6037982106208801,0.603455662727356,0.615299642086029,0.6191985011100769,0.6511510610580444,0.5554880499839783,1.0000001192092896,0.6386829018592834,0.6570219993591309,0.5474520921707153,0.518960177898407
SelfConst_Independent_self,0.899818480014801,0.9001204967498779,0.8762767910957336,0.8046073913574219,0.5712296366691589,0.5674848556518555,0.8396816253662109,0.5682395100593567,0.6262168884277344,0.6261531114578247,0.5563387274742126,0.6386829018592834,1.0,0.9219120144844055,0.8145155906677246,0.7670612335205078
SelfConst_Interdependent_self,0.8909928798675537,0.8864120244979858,0.8719629645347595,0.8028711676597595,0.6320220232009888,0.612642765045166,0.8309193849563599,0.6028522849082947,0.6490721106529236,0.6473196148872375,0.5748258829116821,0.6570219993591309,0.9219120144844055,1.0000001192092896,0.8117155432701111,0.761809766292572
LifeSat_Life_Satisfaction,0.796847403049469,0.8004868626594543,0.7884347438812256,0.7529792189598083,0.5081347227096558,0.5021482706069946,0.7672510147094727,0.4974474012851715,0.5277982950210571,0.5433650612831116,0.48186227679252625,0.5474520921707153,0.8145155906677246,0.8117155432701111,0.9999998807907104,0.6579602956771851
Lonely_Loneliness,0.749894380569458,0.7583380341529846,0.7554045915603638,0.653043806552887,0.48579102754592896,0.48019158840179443,0.690485954284668,0.4606342911720276,0.514018714427948,0.5222128033638,0.455401211977005,0.518960177898407,0.7670612335205078,0.761809766292572,0.6579602956771851,1.0
