,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0000001192092896,0.8651891946792603,0.8604422807693481,0.815583348274231,0.3576590418815613,0.350919634103775,0.7099058628082275,0.45786768198013306,0.49988505244255066,0.47376683354377747,0.4539688229560852,0.5437883734703064,0.8831256628036499,0.8682737350463867,0.7751913666725159,0.7071664333343506
IRI_Fantasy,0.8651891946792603,1.0,0.8687446117401123,0.8108776807785034,0.42352941632270813,0.40688836574554443,0.741795539855957,0.4870082139968872,0.5173642635345459,0.4908306300640106,0.46751996874809265,0.5517542362213135,0.8743090033531189,0.8526877164840698,0.7885235548019409,0.6797709465026855
IRI_Empathic_concern,0.8604422807693481,0.8687446117401123,0.9999999403953552,0.8443207740783691,0.3799724280834198,0.38674771785736084,0.7386531233787537,0.4400337338447571,0.4831579625606537,0.43799951672554016,0.43009305000305176,0.49933552742004395,0.867222249507904,0.8666408061981201,0.7924669981002808,0.7020061612129211
IRI_Personal_distress,0.815583348274231,0.8108776807785034,0.8443207740783691,1.0,0.37402552366256714,0.3993789255619049,0.7044345736503601,0.4767920672893524,0.4668388366699219,0.46210119128227234,0.4813358187675476,0.5002070069313049,0.8199048042297363,0.801161527633667,0.7497849464416504,0.6219726204872131
PANAS_Positive_Affect,0.3576590418815613,0.42352941632270813,0.3799724280834198,0.37402552366256714,1.0,0.8863050937652588,0.575049877166748,0.7944339513778687,0.7764149904251099,0.682172417640686,0.7186835408210754,0.6080895066261292,0.4322808086872101,0.5216667652130127,0.36283230781555176,0.315738707780838
PANAS_Negative_Affect,0.350919634103775,0.40688836574554443,0.38674771785736084,0.3993789255619049,0.8863050937652588,1.0,0.5992012023925781,0.7774690985679626,0.7830966114997864,0.6761611700057983,0.7368864417076111,0.5816410183906555,0.4254447817802429,0.5184367299079895,0.35151439905166626,0.3109983503818512
POM_Peace_of_Mind,0.7099058628082275,0.741795539855957,0.7386531233787537,0.7044345736503601,0.575049877166748,0.5992012023925781,1.0,0.613062858581543,0.6251341700553894,0.5809458494186401,0.599250078201294,0.5411776304244995,0.7717047929763794,0.7809981107711792,0.7265803217887878,0.57807457447052
BigFive_Extraversion,0.45786768198013306,0.4870082139968872,0.4400337338447571,0.4767920672893524,0.7944339513778687,0.7774690985679626,0.613062858581543,1.0,0.8174439668655396,0.7817739248275757,0.8131901025772095,0.6560667753219604,0.5313367247581482,0.5815425515174866,0.44871851801872253,0.35491636395454407
BigFive_Agreeableness,0.49988505244255066,0.5173642635345459,0.4831579625606537,0.4668388366699219,0.7764149904251099,0.7830966114997864,0.6251341700553894,0.8174439668655396,0.9999999403953552,0.7833141088485718,0.7678691744804382,0.676388144493103,0.5670905113220215,0.6101536154747009,0.4535665810108185,0.39913174510002136
BigFive_Conscientiousness,0.47376683354377747,0.4908306300640106,0.43799951672554016,0.46210119128227234,0.682172417640686,0.6761611700057983,0.5809458494186401,0.7817739248275757,0.7833141088485718,1.0,0.7516817450523376,0.675221860408783,0.5591697692871094,0.5814155340194702,0.4548279345035553,0.3728633522987366
BigFive_Neuroticism,0.4539688229560852,0.46751996874809265,0.43009305000305176,0.4813358187675476,0.7186835408210754,0.7368864417076111,0.599250078201294,0.8131901025772095,0.7678691744804382,0.7516817450523376,1.0,0.6479677557945251,0.517081618309021,0.561228334903717,0.44260120391845703,0.34769877791404724
BigFive_Openness,0.5437883734703064,0.5517542362213135,0.49933552742004395,0.5002070069313049,0.6080895066261292,0.5816410183906555,0.5411776304244995,0.6560667753219604,0.676388144493103,0.675221860408783,0.6479677557945251,1.0,0.6061295866966248,0.6106781363487244,0.48563721776008606,0.41529595851898193
SelfConst_Independent_self,0.8831256628036499,0.8743090033531189,0.867222249507904,0.8199048042297363,0.4322808086872101,0.4254447817802429,0.7717047929763794,0.5313367247581482,0.5670905113220215,0.5591697692871094,0.517081618309021,0.6061295866966248,1.0000001192092896,0.9075694680213928,0.807604968547821,0.6908820271492004
SelfConst_Interdependent_self,0.8682737350463867,0.8526877164840698,0.8666408061981201,0.801161527633667,0.5216667652130127,0.5184367299079895,0.7809981107711792,0.5815425515174866,0.6101536154747009,0.5814155340194702,0.561228334903717,0.6106781363487244,0.9075694680213928,0.9999999403953552,0.7974753975868225,0.6664282083511353
LifeSat_Life_Satisfaction,0.7751913666725159,0.7885235548019409,0.7924669981002808,0.7497849464416504,0.36283230781555176,0.35151439905166626,0.7265803217887878,0.44871851801872253,0.4535665810108185,0.4548279345035553,0.44260120391845703,0.48563721776008606,0.807604968547821,0.7974753975868225,1.0000001192092896,0.5917879343032837
Lonely_Loneliness,0.7071664333343506,0.6797709465026855,0.7020061612129211,0.6219726204872131,0.315738707780838,0.3109983503818512,0.57807457447052,0.35491636395454407,0.39913174510002136,0.3728633522987366,0.34769877791404724,0.41529595851898193,0.6908820271492004,0.6664282083511353,0.5917879343032837,1.0
