,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0,0.8654729723930359,0.860806941986084,0.8158896565437317,0.357671707868576,0.3510537147521972,0.7097399830818176,0.4590828418731689,0.5003017783164978,0.4747719466686249,0.4544315636157989,0.544518768787384,0.8836830258369446,0.8686316609382629,0.7757971286773682,0.7071033120155334
IRI_Fantasy,0.8654729723930359,1.0,0.8687446713447571,0.8111980557441711,0.4234926402568817,0.407199889421463,0.7418108582496643,0.4879809021949768,0.5178381204605103,0.49180668592453,0.4676506519317627,0.5515134334564209,0.8745929598808289,0.8527911305427551,0.7892598509788513,0.6796331405639648
IRI_Empathic_concern,0.860806941986084,0.8687446713447571,0.9999999403953552,0.8446440696716309,0.3799749612808227,0.3870634734630584,0.7386650443077087,0.4407342970371246,0.4837419092655182,0.4392080307006836,0.4304171204566955,0.4993371069431305,0.8674101829528809,0.8667057156562805,0.793087363243103,0.7020684480667114
IRI_Personal_distress,0.8158896565437317,0.8111980557441711,0.8446440696716309,1.0,0.3742089867591858,0.3998115956783294,0.7046497464179993,0.4779216647148132,0.4678049385547638,0.4637615382671356,0.4821658730506897,0.5004577040672302,0.8202980756759644,0.8014744520187378,0.7507606148719788,0.6223707795143127
PANAS_Positive_Affect,0.357671707868576,0.4234926402568817,0.3799749612808227,0.3742089867591858,1.0,0.886219322681427,0.5752368569374084,0.7941278219223022,0.7761501669883728,0.6820514798164368,0.7184023261070251,0.6075048446655273,0.4320510923862457,0.521056592464447,0.3631924092769623,0.3157727122306824
PANAS_Negative_Affect,0.3510537147521972,0.407199889421463,0.3870634734630584,0.3998115956783294,0.886219322681427,1.0,0.5996392369270325,0.7772327065467834,0.782988965511322,0.6758173704147339,0.7367196083068848,0.581197202205658,0.4253278076648712,0.5181196331977844,0.3521238267421722,0.311070829629898
POM_Peace_of_Mind,0.7097399830818176,0.7418108582496643,0.7386650443077087,0.7046497464179993,0.5752368569374084,0.5996392369270325,0.9999998807907104,0.6138224005699158,0.6255793571472168,0.5812302827835083,0.5997797250747681,0.5412476062774658,0.7714353799819946,0.7807143330574036,0.7264074087142944,0.5768274068832397
BigFive_Extraversion,0.4590828418731689,0.4879809021949768,0.4407342970371246,0.4779216647148132,0.7941278219223022,0.7772327065467834,0.6138224005699158,1.0000001192092896,0.8172194361686707,0.7817186713218689,0.8133289813995361,0.6559562683105469,0.5320876836776733,0.5817195773124695,0.4496800005435943,0.3557511866092682
BigFive_Agreeableness,0.5003017783164978,0.5178381204605103,0.4837419092655182,0.4678049385547638,0.7761501669883728,0.782988965511322,0.6255793571472168,0.8172194361686707,1.0,0.7834962010383606,0.7679044604301453,0.6763791441917419,0.5676229596138,0.6101690530776978,0.4538006782531738,0.3995890915393829
BigFive_Conscientiousness,0.4747719466686249,0.49180668592453,0.4392080307006836,0.4637615382671356,0.6820514798164368,0.6758173704147339,0.5812302827835083,0.7817186713218689,0.7834962010383606,1.0,0.7518342733383179,0.6762300729751587,0.5601309537887573,0.5817990303039551,0.4557230472564697,0.3738113045692444
BigFive_Neuroticism,0.4544315636157989,0.4676506519317627,0.4304171204566955,0.4821658730506897,0.7184023261070251,0.7367196083068848,0.5997797250747681,0.8133289813995361,0.7679044604301453,0.7518342733383179,1.0,0.6480607986450195,0.5174218416213989,0.5612229108810425,0.4431541860103607,0.3483998775482178
BigFive_Openness,0.544518768787384,0.5515134334564209,0.4993371069431305,0.5004577040672302,0.6075048446655273,0.581197202205658,0.5412476062774658,0.6559562683105469,0.6763791441917419,0.6762300729751587,0.6480607986450195,1.0000001192092896,0.6063893437385559,0.610160768032074,0.4862782955169678,0.4153235256671905
SelfConst_Independent_self,0.8836830258369446,0.8745929598808289,0.8674101829528809,0.8202980756759644,0.4320510923862457,0.4253278076648712,0.7714353799819946,0.5320876836776733,0.5676229596138,0.5601309537887573,0.5174218416213989,0.6063893437385559,1.0000001192092896,0.9075884819030762,0.8078953623771667,0.6907059550285339
SelfConst_Interdependent_self,0.8686316609382629,0.8527911305427551,0.8667057156562805,0.8014744520187378,0.521056592464447,0.5181196331977844,0.7807143330574036,0.5817195773124695,0.6101690530776978,0.5817990303039551,0.5612229108810425,0.610160768032074,0.9075884819030762,0.9999999403953552,0.7975298166275024,0.6664935350418091
LifeSat_Life_Satisfaction,0.7757971286773682,0.7892598509788513,0.793087363243103,0.7507606148719788,0.3631924092769623,0.3521238267421722,0.7264074087142944,0.4496800005435943,0.4538006782531738,0.4557230472564697,0.4431541860103607,0.4862782955169678,0.8078953623771667,0.7975298166275024,1.0,0.5923758745193481
Lonely_Loneliness,0.7071033120155334,0.6796331405639648,0.7020684480667114,0.6223707795143127,0.3157727122306824,0.311070829629898,0.5768274068832397,0.3557511866092682,0.3995890915393829,0.3738113045692444,0.3483998775482178,0.4153235256671905,0.6907059550285339,0.6664935350418091,0.5923758745193481,0.9999998807907104
