analysis,done_marker,n_csv,n_json,summary_files,csv_files
A1_adj,False,1,2,outputs/robustness/A1_adj/A1_adj_summary.json;outputs/robustness/A1_adj/A1_adj_summary.json,outputs/robustness/A1_adj/A1_adj_per_model.csv
A1_full,False,3,2,outputs/robustness/A1_full/A1_full_summary.json;outputs/robustness/A1_full/A1_full_summary.json,outputs/robustness/A1_full/A1_full_all_runs.csv;outputs/robustness/A1_full/A1_full_by_grid.csv;outputs/robustness/A1_full/A1_full_real_model_positions.csv
A1_minimal,False,2,2,outputs/robustness/A1_minimal/A1_minimal_summary.json;outputs/robustness/A1_minimal/A1_minimal_summary.json,outputs/robustness/A1_minimal/A1_minimal_all_runs.csv;outputs/robustness/A1_minimal/A1_minimal_by_grid.csv
A2,False,2,2,outputs/robustness/A2/A2_summary.json;outputs/robustness/A2/A2_summary.json,outputs/robustness/A2/A2_per_model_spread.csv;outputs/robustness/A2/A2_probe_comparison.csv
A3,False,1,2,outputs/robustness/A3/A3_summary.json;outputs/robustness/A3/A3_summary.json,outputs/robustness/A3/A3_multitarget_comparison.csv
B2,False,1,2,outputs/robustness/B2/B2_summary.json;outputs/robustness/B2/B2_summary.json,outputs/robustness/B2/B2_per_model.csv
C1,False,1,1,outputs/robustness/C1/C1_within_group.json,outputs/robustness/C1/C1_within_group.csv
C2,False,1,1,outputs/robustness/C2/C2_partial.json,outputs/robustness/C2/C2_partial.csv
D2,False,2,2,outputs/robustness/D2/D2_summary.json;outputs/robustness/D2/D2_summary.json,outputs/robustness/D2/D2_paired_diffs.csv;outputs/robustness/D2/D2_per_model_group.csv
D2b,False,3,2,outputs/robustness/D2b/D2b_summary.json;outputs/robustness/D2b/D2b_summary.json,outputs/robustness/D2b/D2b_cross_scale_only.csv;outputs/robustness/D2b/D2b_leave_one_pair_out.csv;outputs/robustness/D2b/D2b_specific_pair_influence.csv
F1,False,1,1,outputs/robustness/F1/F1_fixed_depth.json,outputs/robustness/F1/F1_fixed_depth.csv
F1b,False,1,2,outputs/robustness/F1b/F1b_summary.json;outputs/robustness/F1b/F1b_summary.json,outputs/robustness/F1b/F1b_adjacent_layer.csv
F2,False,1,2,outputs/robustness/F2/F2_summary.json;outputs/robustness/F2/F2_summary.json,outputs/robustness/F2/F2_base_instruct_pairs.csv
F3,False,3,2,outputs/robustness/F3/F3_summary.json;outputs/robustness/F3/F3_summary.json,outputs/robustness/F3/F3_by_model_pair_type.csv;outputs/robustness/F3/F3_by_pair_type.csv;outputs/robustness/F3/F3_pair_detail.csv
F3b,False,3,2,outputs/robustness/F3b/F3b_summary.json;outputs/robustness/F3b/F3b_summary.json,outputs/robustness/F3b/F3b_by_model_scope.csv;outputs/robustness/F3b/F3b_pair_detail.csv;outputs/robustness/F3b/F3b_paired.csv
