model,size,type,family,item_r,item_slope,item_intercept,item_rmse,item_within_r,item_within_slope,item_within_intercept,item_within_rmse,item_between_r,item_between_slope,item_between_intercept,item_between_rmse,subscale_r,subscale_slope,subscale_intercept,subscale_rmse,subscale_within_r,subscale_within_slope,subscale_within_intercept,subscale_within_rmse,subscale_between_r,subscale_between_slope,subscale_between_intercept,subscale_between_rmse,scale_r,scale_slope,scale_intercept,scale_rmse
qwen05b_base_v2,0.5,base,Qwen,0.3424585718622138,0.35393772430073217,0.03721983853241039,0.2033741708257303,0.706221054864705,0.6295971329815535,0.08358168458230972,0.1929772907479138,0.13102588578281424,0.14286974512698644,0.027370244898293917,0.20572751884089802,0.14214433703362106,0.11764915268629289,0.08260272892486309,0.313300731541765,0.5755805753272675,0.6349937482629056,0.06007313299162531,0.20342013703475703,0.07070399903777888,0.05588180310177291,0.08149145697639314,0.33019638708852256,0.4666497521492189,0.45165959761705704,0.14061497742637727,0.2723003087011493
qwen05b_instruct_v3,0.5,instruct,Qwen,0.4640470026400576,0.4504519586693152,0.07496542002643716,0.1889863439469406,0.8272058590608656,0.7476592179215437,0.045163562280535856,0.14525385643867494,0.2639526629967587,0.268643809838983,0.0812890853288937,0.19771300174874254,0.30688943419025416,0.29822921023281745,0.0778725738972262,0.30209766313618713,0.5159935412539142,0.5109744972145316,0.012859412600630503,0.20366404362844154,0.2892014906164253,0.28030472777951376,0.08710346063204771,0.31630428698863794,0.7384015701015882,0.7782115058191115,0.05918278485352818,0.18089610210764073
llama1b_base_v2,1.0,base,Llama,0.2513667128659559,0.2980768684460375,0.09358402510826874,0.25300378025732057,0.3100814368564301,0.3210725231004727,0.07697095911427411,0.30212771121603543,0.22460761109821484,0.28955897784503765,0.09775923790096816,0.2383318302156655,0.3784252477650374,0.3295533805960127,0.14586096642563473,0.28506350163879374,0.49218251654048434,0.5749462335185563,0.11462812474342605,0.24177794020255675,0.36286988717989266,0.30034752486516614,0.14980352658827684,0.2927029191116857,0.6006764898119015,0.49931848302701914,0.23480958886416992,0.2995471974855621
llama1b_instruct_v3,1.0,instruct,Llama,0.43387496606917514,0.43459264671717185,0.024030391692360428,0.18705649774766522,0.7992945127782614,0.6671899577972392,-0.0023281731066064635,0.1527423955681283,0.2607250144855655,0.28784243834857504,0.030100697347460348,0.19433031606440732,0.4931224469289506,0.5154411433227689,0.10182164384079719,0.276866443500353,0.8212537245991588,0.8957177132797863,0.032972019567746834,0.13262034690973779,0.459520101341774,0.47855820003065763,0.11014209639156695,0.295090821661171,0.5309804362664986,0.5312885130908129,0.12407397640086262,0.25455981035096875
qwen3b_base_v2,3.0,base,Qwen,0.5924712278881816,0.6195383732740227,0.04215335110760963,0.16810060609999003,0.9983834876856771,0.9959470944910683,-0.0009441293982168515,0.014339283446656548,0.33753876369102503,0.3666289230032452,0.052841682229740616,0.18849757057428418,0.5692799307238006,0.6337969315298022,0.08409334663423518,0.2623680015048003,0.9992526941150384,0.9972289213353268,0.00043257928977912766,0.007986927731339336,0.5334412096161721,0.600374346412223,0.09513000064168241,0.28455827390667643,0.6687948124858114,0.6435971586654143,0.13107036135171227,0.22537739352245492
qwen3b_instruct_v3,3.0,instruct,Qwen,0.6264587068099869,0.6713675144832049,0.02011569176919605,0.16091683872601023,0.9916301386163935,0.9695796157866124,-0.0037104399116445063,0.03314709939405157,0.3976558935466745,0.45409522722361595,0.026482162370203257,0.18052928723222528,0.5548275537732121,0.613891881756323,0.10171962999485984,0.27024714237976327,0.9920579250896694,0.991330252221294,-0.011068265518871663,0.028535305488558593,0.5222373225015865,0.5818302692854839,0.11765533164182308,0.29287897202353713,0.44119007532268373,0.4400903998522891,0.13821231134715,0.27887357065381463
llama3b_base_v2,3.0,base,Llama,0.6163789211957191,0.6845616362196705,0.05540343503133845,0.16928547485223486,0.9979217372708008,0.9928371547494679,0.0009973216377235055,0.016221927667914388,0.43453896289067545,0.5136223684042156,0.06694039501395574,0.18690176526934169,0.5980564221122053,0.6581669380338654,0.058084292601881866,0.24688802559173284,0.9995579944905376,0.9880113028407894,-0.0006176772681055773,0.006731339102332778,0.5621733387215799,0.6260714137737425,0.0651256710533288,0.26777273186673356,0.8001368981927252,1.0633925593708105,0.07260759738625792,0.1975407438837959
llama3b_instruct_v3,3.0,instruct,Llama,0.5815982030343325,0.7319966275848718,0.048205356760853024,0.18870004664276327,0.9731613489921523,0.9149820030265913,0.0038859926397503265,0.05846199854760523,0.45154424773846413,0.640351398360971,0.056897897662179696,0.2058174773085768,0.6420033448393226,0.7545352407500606,0.11323491000225325,0.2610133327395923,0.9951053521893101,0.9708966295517597,-0.00560116317163411,0.022223811901163053,0.6234882685697033,0.7416974685684787,0.1317276243244377,0.2829547359260143,0.8457728996545314,1.0923141553392122,0.1252932767095688,0.20303643356595077
qwen7b_base_v2,7.0,base,Qwen,0.6990752722676485,0.9992678834996008,0.036620980743874876,0.18516431557574944,0.9986922163961903,0.994173926884119,0.0008538778342493718,0.012883838370442205,0.618848993797152,1.0177568778418289,0.04439278437365013,0.20501418476668481,0.7106876534394737,1.0271986596970204,0.11361358106270784,0.2854373275968702,0.9989193437173232,0.9909523371693914,0.004493120560627535,0.01041545285403979,0.70321850361542,1.0425449047553408,0.13280016218580404,0.3095693322265624,0.8382449206330733,1.4727417537499268,0.12988168144401582,0.2778706071002082
qwen7b_instruct_v3,7.0,instruct,Qwen,0.7017343422557173,1.1230414148124708,0.037210814624593865,0.2044755974761865,0.9983682134544488,0.9987733196161881,0.0005494556817627706,0.014369704195773339,0.6490347713310862,1.212408658715323,0.04468183471284986,0.2248220172546947,0.7766751721888381,1.2934844457430335,0.09537257431774343,0.2999736260775469,0.9979581203342006,1.0227135811986192,0.002646986556099545,0.014965382449992204,0.7762192826732118,1.3342429215972549,0.11392965248761161,0.3253063387771969,0.8647430930882093,1.623241435256666,0.08531618703971197,0.2734444781853576
