model,size,type,family,item_r,item_slope,item_intercept,item_rmse,item_r_pctile,item_slope_pctile,item_intercept_pctile,subscale_r,subscale_slope,subscale_intercept,subscale_rmse,subscale_r_pctile,subscale_slope_pctile,subscale_intercept_pctile,scale_r,scale_slope,scale_intercept,scale_rmse,scale_r_pctile,scale_slope_pctile,scale_intercept_pctile
qwen05b_base_v2,0.5,base,Qwen,0.3424585718622138,0.35393772430073217,0.03721983853241039,0.2033741708257303,0.0,0.0,100.0,0.14214433703362106,0.11764915268629289,0.08260272892486309,0.313300731541765,0.0,0.0,100.0,0.4666497521492189,0.45165959761705704,0.14061497742637727,0.2723003087011493,0.0,0.0,100.0
qwen05b_instruct_v3,0.5,instruct,Qwen,0.4640470026400576,0.4504519586693152,0.07496542002643716,0.1889863439469406,0.0,0.0,100.0,0.30688943419025416,0.29822921023281745,0.0778725738972262,0.30209766313618713,0.0,0.0,100.0,0.7384015701015882,0.7782115058191115,0.05918278485352818,0.18089610210764073,0.0,3.9,99.9
llama1b_base_v2,1.0,base,Llama,0.2513667128659559,0.2980768684460375,0.09358402510826874,0.25300378025732057,0.0,0.0,100.0,0.3784252477650374,0.3295533805960127,0.14586096642563473,0.28506350163879374,0.0,0.0,100.0,0.6006764898119015,0.49931848302701914,0.23480958886416992,0.2995471974855621,0.0,0.0,100.0
llama1b_instruct_v3,1.0,instruct,Llama,0.43387496606917514,0.43459264671717185,0.024030391692360428,0.18705649774766522,0.0,0.0,99.5,0.4931224469289506,0.5154411433227689,0.10182164384079719,0.276866443500353,0.0,0.0,100.0,0.5309804362664986,0.5312885130908129,0.12407397640086262,0.25455981035096875,0.0,0.0,100.0
qwen3b_base_v2,3.0,base,Qwen,0.5924712278881816,0.6195383732740227,0.04215335110760963,0.16810060609999003,0.0,0.5499999999999999,100.0,0.5692799307238006,0.6337969315298022,0.08409334663423518,0.2623680015048003,0.0,0.05,100.0,0.6687948124858114,0.6435971586654143,0.13107036135171227,0.22537739352245492,0.0,0.05,100.0
qwen3b_instruct_v3,3.0,instruct,Qwen,0.6264587068099869,0.6713675144832049,0.02011569176919605,0.16091683872601023,0.0,4.8500000000000005,97.5,0.5548275537732121,0.613891881756323,0.10171962999485984,0.27024714237976327,0.0,0.0,100.0,0.44119007532268373,0.4400903998522891,0.13821231134715,0.27887357065381463,0.0,0.0,100.0
llama3b_base_v2,3.0,base,Llama,0.6163789211957191,0.6845616362196705,0.05540343503133845,0.16928547485223486,0.0,8.15,100.0,0.5980564221122053,0.6581669380338654,0.058084292601881866,0.24688802559173284,0.0,0.05,99.7,0.8001368981927252,1.0633925593708105,0.07260759738625792,0.1975407438837959,0.0,81.55,100.0
llama3b_instruct_v3,3.0,instruct,Llama,0.5815982030343325,0.7319966275848718,0.048205356760853024,0.18870004664276327,0.0,29.2,100.0,0.6420033448393226,0.7545352407500606,0.11323491000225325,0.2610133327395923,0.0,3.65,100.0,0.8457728996545314,1.0923141553392122,0.1252932767095688,0.20303643356595077,0.0,87.55,100.0
qwen7b_base_v2,7.0,base,Qwen,0.6990752722676485,0.9992678834996008,0.036620980743874876,0.18516431557574944,0.05,100.0,100.0,0.7106876534394737,1.0271986596970204,0.11361358106270784,0.2854373275968702,0.0,91.9,100.0,0.8382449206330733,1.4727417537499268,0.12988168144401582,0.2778706071002082,0.0,100.0,100.0
qwen7b_instruct_v3,7.0,instruct,Qwen,0.7017343422557173,1.1230414148124708,0.037210814624593865,0.2044755974761865,0.05,100.0,100.0,0.7766751721888381,1.2934844457430335,0.09537257431774343,0.2999736260775469,0.0,100.0,100.0,0.8647430930882093,1.623241435256666,0.08531618703971197,0.2734444781853576,0.1,100.0,100.0
llama8b_base_v2,8.0,base,Llama,0.6365550163954216,0.8878181062267364,0.08433532581739744,0.20520504899535763,0.0,97.95,100.0,0.7144084019378882,0.9390643898850596,0.14978438469890276,0.2788363200080258,0.0,67.7,100.0,0.8806376222366039,1.5274743213443187,0.14571201546793577,0.267766482218741,0.25,100.0,100.0
llama8b_instruct_v3,8.0,instruct,Llama,0.6921224479741694,1.0947126133048561,-0.00166859392035764,0.2001190842654238,0.0,100.0,10.65,0.7783625538249941,1.2316526859322723,0.016548298132384603,0.2634215146082366,0.0,100.0,74.15,0.908335700678381,1.7117873157038768,-0.026864031639113033,0.24534519206729932,1.35,100.0,7.6
qwen14b_base_v2,14.0,base,Qwen,0.7017062868480588,1.04690832200658,0.05902542620248038,0.19670186889477864,0.05,100.0,100.0,0.731685899360573,1.1319142517694163,0.14838314537397831,0.3134936736224895,0.0,99.45,100.0,0.8475798330680169,1.476568831599319,0.14853931101598752,0.28157209749772427,0.0,100.0,100.0
qwen14b_instruct_v3,14.0,instruct,Qwen,0.7078171782310905,1.1314955037653498,0.04241428835828988,0.20714977871110188,0.05,100.0,100.0,0.7935920171318104,1.335866999595951,0.0943726897713455,0.3012947813908271,0.05,100.0,100.0,0.8430227205395835,1.4770861790097058,0.08756852764193404,0.25811626798677456,0.0,100.0,100.0
