label,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.6436659467948781,-0.5208442432571367,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
IRI_Fantasy,-1.0,1.0,-0.63601263869222,-1.0,-0.9698610858619268,1.0,1.0,-0.6305215534873277,1.0,0.7501213735785002,0.7557468217638406,1.0,0.8701623710912583,-0.172450267687633,-0.6315826732593404,-1.0
IRI_Empathic_concern,-1.0,-0.63601263869222,1.0,1.0,-1.0,1.0,-1.0,0.9332424341820572,-1.0,-1.0,1.0,-1.0,-0.5846588727731556,0.2210107200434943,-0.2084230213862185,1.0
IRI_Personal_distress,-1.0,-1.0,1.0,1.0,-0.7705599069595337,1.0,-1.0,1.0,-1.0,-1.0,0.6695689633488655,-1.0,-1.0,-1.0,1.0,1.0
PANAS_Positive_Affect,-1.0,-0.9698610858619268,-1.0,-0.7705599069595337,1.0,-1.0,1.0,-0.4239900015535623,-1.0,-0.938283244644181,-1.0,-0.4034994170069694,-1.0,-1.0,1.0,-1.0
PANAS_Negative_Affect,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.7204626258915122,-1.0,-1.0
POM_Peace_of_Mind,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.8607659481407753,-1.0,-1.0,-1.0
BigFive_Extraversion,0.6436659467948781,-0.6305215534873277,0.9332424341820572,1.0,-0.4239900015535623,-1.0,-1.0,1.0,-0.7357371532382098,-0.396077946142723,-1.0,-1.0,-0.1218068177210073,1.0,-0.5233647797537194,1.0
BigFive_Agreeableness,-0.5208442432571367,1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.7357371532382098,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
BigFive_Conscientiousness,1.0,0.7501213735785002,-1.0,-1.0,-0.938283244644181,1.0,1.0,-0.396077946142723,1.0,1.0,1.0,1.0,1.0,0.3082860265443962,-1.0,-0.8804824280066316
BigFive_Neuroticism,1.0,0.7557468217638406,1.0,0.6695689633488655,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
BigFive_Openness,-1.0,1.0,-1.0,-1.0,-0.4034994170069694,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
SelfConst_Independent_self,1.0,0.8701623710912583,-0.5846588727731556,-1.0,-1.0,1.0,0.8607659481407753,-0.1218068177210073,1.0,1.0,1.0,1.0,1.0,0.8128766023690147,-1.0,-0.6522951057494886
SelfConst_Interdependent_self,1.0,-0.172450267687633,0.2210107200434943,-1.0,-1.0,-0.7204626258915122,-1.0,1.0,1.0,0.3082860265443962,-1.0,-1.0,0.8128766023690147,1.0,-1.0,0.755442257717936
LifeSat_Life_Satisfaction,-1.0,-0.6315826732593404,-0.2084230213862185,1.0,1.0,-1.0,-1.0,-0.5233647797537194,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
Lonely_Loneliness,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.8804824280066316,1.0,-1.0,-0.6522951057494886,0.755442257717936,-1.0,1.0
