level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,8,16,120,-0.065274559355424,0.7427257274272573,-0.065274559355424,0.4787474686121903,-0.0457151803199385,-5.892462116096231e-05
scale,8,7,21,-0.1165179512060005,0.6536346365363463,-0.1165179512060005,0.614981366447566,-0.0916996784618422,0.0194834108866347
subscale,10,16,120,-0.0696403810646923,0.7611238876112388,-0.0696403810646923,0.449765829020816,-0.0525025122600578,0.0046958175098451
scale,10,7,21,-0.1682923868820517,0.7447255274472553,-0.1682923868820517,0.4658702519538031,-0.133480002477553,0.0179612393086831
subscale,12,16,120,-0.0712496333236256,0.7752224777522247,-0.0712496333236255,0.4393361544434889,-0.0532626663465555,-0.0041664784477746
scale,12,7,21,-0.1234734740195249,0.6779322067793221,-0.1234734740195249,0.5938764888021371,-0.0846294195413367,0.0090837607316051
subscale,14,16,120,-0.0525024820393697,0.6944305569443056,-0.0525024820393697,0.569010779171114,-0.0393831945177673,-0.004740952760451
scale,14,7,21,-0.1538308106528829,0.7242275772422758,-0.1538308106528828,0.5055671351342151,-0.11271103910415,0.0272553312347667
subscale,16,16,120,-0.0790252280079706,0.8023197680231977,-0.0790252280079707,0.3909146489378554,-0.06172240916813,-0.0029885460965321
scale,16,7,21,-0.2540256140640243,0.8568143185681432,-0.2540256140640244,0.2664987571070378,-0.2100426598746125,0.0472433176642202
subscale,18,16,120,-0.0780689299665099,0.7969203079692031,-0.0780689299665099,0.3966911469764586,-0.0617024384239124,-0.0057209645837273
scale,18,7,21,-0.2758894918835758,0.8776122387761224,-0.2758894918835758,0.2260733526475491,-0.2454288726007541,0.059693648028618
subscale,20,16,120,-0.0861621223413085,0.8307169283071693,-0.0861621223413085,0.3494168220273904,-0.0736491578769262,-0.0081130282515742
scale,20,7,21,-0.2809721254700451,0.8814118588141185,-0.2809721254700451,0.2172868625796499,-0.2803045835110411,0.0649455936388378
