target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,0.1789347529411316,0.3035532534122467,200
IRI_Fantasy,subscale,0.4878955781459808,0.6558196544647217,200
IRI_Empathic_concern,subscale,0.1586225181818008,0.2738122642040252,200
IRI_Personal_distress,subscale,0.1187761053442955,0.2123322188854217,200
PANAS_Positive_Affect,subscale,0.1836228519678115,0.3102725744247436,200
PANAS_Negative_Affect,subscale,-0.0052178846672177,0.01,200
POM_Peace_of_Mind,subscale,0.1798171699047088,0.3048220872879028,200
BigFive_Extraversion,subscale,-0.2028960436582565,0.01,200
BigFive_Agreeableness,subscale,0.0735124573111534,0.1369568854570388,200
BigFive_Conscientiousness,subscale,-0.1781180948019027,0.01,200
BigFive_Neuroticism,subscale,0.2988967299461365,0.4602316915988922,200
BigFive_Openness,subscale,0.2881379723548889,0.4473713040351867,200
SelfConst_Independent_self,subscale,0.1317699998617172,0.2328564971685409,200
SelfConst_Interdependent_self,subscale,-0.1074152588844299,0.01,200
LifeSat_Life_Satisfaction,subscale,-0.0569705255329608,0.01,200
Lonely_Loneliness,subscale,-0.3057099282741546,0.01,200
IRI,scale,0.5177382230758667,0.6822497248649597,200
PANAS,scale,-0.3444242477416992,0.01,200
POM,scale,0.1692805737257003,0.2895465493202209,200
BigFive,scale,0.1761220842599868,0.2994962632656097,200
SelfConst,scale,0.1070477291941642,0.1933931708335876,200
LifeSat,scale,-0.2188858389854431,0.01,200
Lonely,scale,0.0286762118339538,0.055753618478775,200
