level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,12,16,120,-0.0606525733479076,0.7259274072592741,-0.0606525733479076,0.5104947593254981,-0.0875691628898671,0.0103495188231917
scale,12,7,21,-0.2292718350412742,0.7941205879412059,-0.2292718350412742,0.3174459819116335,-0.3959662311356117,0.1284381700994173
subscale,14,16,120,-0.0792063120149423,0.8083191680831917,-0.0792063120149422,0.3898265224247924,-0.1083461191785759,0.0090598857447633
scale,14,7,21,-0.2260681821669181,0.7845215478452154,-0.226068182166918,0.3244406737645281,-0.3735767734539358,0.1314635269717189
subscale,16,16,120,-0.0838653884306028,0.826017398260174,-0.0838653884306028,0.3624592570211259,-0.1121217288481516,0.0073662485990897
scale,16,7,21,-0.2247624804481644,0.7894210578942106,-0.2247624804481644,0.3273176926383652,-0.3639589768294398,0.1309050251389624
subscale,18,16,120,-0.0974171337839645,0.8745125487451255,-0.0974171337839645,0.2898268948286115,-0.1257911895630222,0.0028612831609638
scale,18,7,21,-0.2188238346453236,0.7735226477352265,-0.2188238346453236,0.3405940274059201,-0.3308697689929556,0.1314381056959696
subscale,20,16,120,-0.0999811989741632,0.8784121587841216,-0.0999811989741633,0.2772576656378582,-0.1264951056707856,0.0020150803733161
scale,20,7,21,-0.2152909591167409,0.764023597640236,-0.2152909591167409,0.3486400410369563,-0.3141459025272957,0.1295152875178429
subscale,22,16,120,-0.1029895853895847,0.8851114888511149,-0.1029895853895847,0.2629843972162274,-0.1309627925884774,-0.0002834442511799
scale,22,7,21,-0.2186296307998568,0.769023097690231,-0.2186296307998568,0.3410334597080602,-0.2898149735973582,0.1219720185578602
subscale,24,16,120,-0.1010195883426694,0.8824117588241176,-0.1010195883426694,0.2722732987932131,-0.1311716089544458,-0.003776154819257
scale,24,7,21,-0.2112741102372744,0.7565243475652434,-0.2112741102372745,0.3579216949520564,-0.2609013936407444,0.1126048371252684
