target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,-0.1478728055953979,0.01,200
IRI_Fantasy,subscale,-0.8100786209106445,0.01,200
IRI_Empathic_concern,subscale,0.0235437434166669,0.0460043735802173,200
IRI_Personal_distress,subscale,-0.4381786584854126,0.01,200
PANAS_Positive_Affect,subscale,0.0653113201260566,0.1226145252585411,200
PANAS_Negative_Affect,subscale,-0.219541847705841,0.01,200
POM_Peace_of_Mind,subscale,0.0481927432119846,0.0919539704918861,200
BigFive_Extraversion,subscale,0.1805905550718307,0.3059325814247131,200
BigFive_Agreeableness,subscale,0.0823819115757942,0.1522233635187149,200
BigFive_Conscientiousness,subscale,0.4273574948310852,0.5988093614578247,200
BigFive_Neuroticism,subscale,-0.7872357368469238,0.01,200
BigFive_Openness,subscale,-0.1698565483093261,0.01,200
SelfConst_Independent_self,subscale,0.0289916712790727,0.0563496686518192,200
SelfConst_Interdependent_self,subscale,-0.5886244773864746,0.01,200
LifeSat_Life_Satisfaction,subscale,-0.4718940854072571,0.01,200
Lonely_Loneliness,subscale,0.3217102289199829,0.4868090152740478,200
IRI,scale,-0.0806936398148536,0.01,200
PANAS,scale,0.1897170692682266,0.318928062915802,200
POM,scale,-0.5909810662269592,0.01,200
BigFive,scale,0.1032067835330963,0.1871032416820526,200
SelfConst,scale,0.3055406510829925,0.4680676162242889,200
LifeSat,scale,0.6068485975265503,0.7553276419639587,200
Lonely,scale,0.2598822116851806,0.4125500023365021,200
