label,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.1316675880454017,-1.0,-1.0,1.0,-1.0,-1.0,-0.975574139196806,-1.0
IRI_Fantasy,1.0,1.0,0.7652160637738064,1.0,0.023493837948661,0.2859593363267151,-1.0,0.1017877948447258,-0.0361052405352952,-0.7590230995299126,-0.3157456508301876,1.0,-0.8133028777873925,-1.0,-0.9451380125452437,0.1238962359722245
IRI_Empathic_concern,1.0,0.7652160637738064,1.0,-1.0,0.2569790620805119,-0.3365167719130851,1.0,0.5473989362332311,0.8945491427501722,1.0,-0.6672042030303051,1.0,0.3064780502223631,-0.7570989601830269,-0.1951668220071415,-0.858387979144397
IRI_Personal_distress,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-0.7636214073475224,1.0
PANAS_Positive_Affect,1.0,0.023493837948661,0.2569790620805119,-1.0,1.0,-0.6489601521285082,1.0,1.0,0.3219810822825432,-0.9366749784969622,0.0516704130805092,1.0,0.4564997865212816,1.0,0.9845920739862452,-0.9145671993828288
PANAS_Negative_Affect,-1.0,0.2859593363267151,-0.3365167719130851,1.0,-0.6489601521285082,1.0,-1.0,-0.2113200012082809,-0.67327369930796,0.1371882487552699,0.2688415044966333,1.0,-1.0,1.0,-0.0241186589969147,1.0
POM_Peace_of_Mind,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-0.7045033387839794,1.0,1.0,1.0,-1.0
BigFive_Extraversion,1.0,0.1017877948447258,0.5473989362332311,-1.0,1.0,-0.2113200012082809,1.0,1.0,0.9967929260353824,-0.6734395123070642,-0.9078407611604216,-1.0,0.5645012248323793,1.0,0.3934112968428381,-1.0
BigFive_Agreeableness,-0.1316675880454017,-0.0361052405352952,0.8945491427501722,-1.0,0.3219810822825432,-0.67327369930796,1.0,0.9967929260353824,1.0,0.5440594786754985,-0.5431102413193781,-1.0,1.0,-0.3497439109521003,0.1694987848426686,-1.0
BigFive_Conscientiousness,-1.0,-0.7590230995299126,1.0,-1.0,-0.9366749784969622,0.1371882487552699,1.0,-0.6734395123070642,0.5440594786754985,1.0,0.5054408033040835,1.0,-1.0,1.0,1.0,1.0
BigFive_Neuroticism,-1.0,-0.3157456508301876,-0.6672042030303051,1.0,0.0516704130805092,0.2688415044966333,-1.0,-0.9078407611604216,-0.5431102413193781,0.5054408033040835,1.0,1.0,-0.1084071831202775,0.9021317273839304,0.4324557638839612,1.0
BigFive_Openness,1.0,1.0,1.0,1.0,1.0,1.0,-0.7045033387839794,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.5844533286874175,1.0
SelfConst_Independent_self,-1.0,-0.8133028777873925,0.3064780502223631,-1.0,0.4564997865212816,-1.0,1.0,0.5645012248323793,1.0,-1.0,-0.1084071831202775,-1.0,1.0,-1.0,0.1549287775098598,-1.0
SelfConst_Interdependent_self,-1.0,-1.0,-0.7570989601830269,1.0,1.0,1.0,1.0,1.0,-0.3497439109521003,1.0,0.9021317273839304,1.0,-1.0,1.0,1.0,1.0
LifeSat_Life_Satisfaction,-0.975574139196806,-0.9451380125452437,-0.1951668220071415,-0.7636214073475224,0.9845920739862452,-0.0241186589969147,1.0,0.3934112968428381,0.1694987848426686,1.0,0.4324557638839612,-0.5844533286874175,0.1549287775098598,1.0,1.0,0.6080011738209683
Lonely_Loneliness,-1.0,0.1238962359722245,-0.858387979144397,1.0,-0.9145671993828288,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.6080011738209683,1.0
