level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,6,16,120,0.0146429269868248,0.3806619338066193,0.0146429269868249,0.8738778350516276,0.0124447429751788,-0.0216317674071694
scale,6,7,21,0.0582860068791642,0.3742625737426257,0.0582860068791642,0.8018468829234132,0.0503665197294928,-0.0300441172947755
subscale,8,16,120,0.0243388854872927,0.3376662333766623,0.0243388854872928,0.7918819902056804,0.0219148535576205,-0.019929636131969
scale,8,7,21,0.058921936222695,0.3756624337566243,0.0589219362226949,0.7997269904955028,0.0491715635588448,-0.0297638570039895
subscale,10,16,120,0.0356635841961657,0.3075692430756924,0.0356635841961657,0.6989717366903133,0.030645979046369,-0.016384149458248
scale,10,7,21,0.0167561747664477,0.4412558744125587,0.0167561747664477,0.9425308775386136,0.0154447615220006,-0.0317548180219765
subscale,12,16,120,0.0292766734406518,0.3307669233076692,0.0292766734406518,0.7509241012923243,0.0248734296803934,-0.0135535737553042
scale,12,7,21,-0.0258922154397514,0.4953504649535046,-0.0258922154397513,0.9112946472952153,-0.0246901249981805,-0.0209296884341481
subscale,14,16,120,0.0287778649800764,0.3278672132786721,0.0287778649800764,0.7550323949456685,0.0245433607942394,-0.0144627734532713
scale,14,7,21,-0.0467654902419603,0.5325467453254674,-0.0467654902419603,0.8404692636474804,-0.0433675035845302,-0.0372831684974243
subscale,16,16,120,0.0098736182324622,0.406959304069593,0.0098736182324621,0.914764730711341,0.0085246046227586,-0.0184176252552871
scale,16,7,21,-0.0655368649761348,0.5821417858214178,-0.0655368649761348,0.7777587919079944,-0.0575425642678447,-0.0298690346256995
