label,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.4052824765966441,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.4727762650239155
IRI_Fantasy,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.5002507162454164,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
IRI_Empathic_concern,1.0,1.0,1.0,-1.0,-0.1365338232855619,-1.0,-0.2016544833010666,1.0,-1.0,1.0,1.0,-1.0,-0.6426037103216883,1.0,-1.0,-0.863754537571913
IRI_Personal_distress,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
PANAS_Positive_Affect,-1.0,-1.0,-0.1365338232855619,1.0,1.0,-1.0,-0.4343754329574851,0.3033803380922844,1.0,-1.0,-1.0,-1.0,0.1807955245410027,0.4683271728334329,1.0,1.0
PANAS_Negative_Affect,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.946422020878442,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
POM_Peace_of_Mind,-0.4052824765966441,-0.5002507162454164,-0.2016544833010666,1.0,-0.4343754329574851,-0.946422020878442,1.0,0.9572137709451544,0.3239373504156852,-1.0,1.0,1.0,-0.2926323994107526,1.0,-1.0,-0.1280166376306128
BigFive_Extraversion,1.0,1.0,1.0,1.0,0.3033803380922844,-1.0,0.9572137709451544,1.0,0.432586078611207,-1.0,-0.5588521872224814,-1.0,0.4649118832625151,1.0,-1.0,0.322718377530873
BigFive_Agreeableness,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.3239373504156852,0.432586078611207,1.0,0.4016113204539519,-1.0,-1.0,1.0,-1.0,1.0,-1.0
BigFive_Conscientiousness,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.4016113204539519,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
BigFive_Neuroticism,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-0.5588521872224814,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
BigFive_Openness,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.8503999561071396
SelfConst_Independent_self,-1.0,-1.0,-0.6426037103216883,1.0,0.1807955245410027,-1.0,-0.2926323994107526,0.4649118832625151,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.2226193975377235
SelfConst_Interdependent_self,1.0,1.0,1.0,1.0,0.4683271728334329,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
LifeSat_Life_Satisfaction,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.2114227972924709
Lonely_Loneliness,-0.4727762650239155,1.0,-0.863754537571913,1.0,1.0,-1.0,-0.1280166376306128,0.322718377530873,-1.0,-1.0,1.0,-0.8503999561071396,0.2226193975377235,1.0,0.2114227972924709,1.0
