level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,6,16,120,0.1002220410789455,0.1402859714028597,0.1002220410789455,0.2760961707622594,0.0823923465469058,-0.0179003724029845
scale,6,7,21,0.1207978574039063,0.2736726327367263,0.1207978574039063,0.601958990431519,0.1114422706146822,-0.0048582097866588
subscale,8,16,120,0.0668016193058196,0.2142785721427857,0.0668016193058196,0.4684974644118874,0.0530138722585816,-0.0121255264932042
scale,8,7,21,0.1454878678010872,0.246975302469753,0.1454878678010872,0.5291875752723709,0.1244394491647853,0.0015092192145874
subscale,10,16,120,0.0325719438737567,0.3230676932306769,0.0325719438737567,0.7239633785472686,0.026395087663772,-0.0114035316876349
scale,10,7,21,0.2037292095807265,0.1782821717828217,0.2037292095807265,0.3757366404269336,0.203230533269354,-0.0087294480607637
subscale,12,16,120,0.0205196793057434,0.3665633436656334,0.0205196793057434,0.8239616728386057,0.0169215965840279,-0.0107179871531381
scale,12,7,21,0.2010440132776507,0.1731826817318268,0.2010440132776508,0.3821960246743872,0.1949165964057439,-0.0025617271068037
subscale,14,16,120,0.030727659276246,0.325967403259674,0.0307276592762461,0.7390134226354067,0.0255588587710829,-0.0082019540864452
scale,14,7,21,0.2315193903393609,0.1403859614038596,0.2315193903393609,0.3125934339230385,0.2085814752992031,-0.0126303752672889
subscale,16,16,120,0.0261754393725327,0.3493650634936506,0.0261754393725327,0.7765751970182517,0.0220164870734534,-0.0113866648957433
scale,16,7,21,0.2132620352715792,0.1582841715828417,0.2132620352715792,0.353310534839176,0.1782127618818917,0.0221704843411572
