target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,0.1015082374215126,0.184307724237442,200
IRI_Fantasy,subscale,0.198614165186882,0.3314063549041748,200
IRI_Empathic_concern,subscale,-0.1369146555662155,0.01,200
IRI_Personal_distress,subscale,0.2835123538970947,0.4417757987976074,200
PANAS_Positive_Affect,subscale,0.0570688210427761,0.1079756021499633,200
PANAS_Negative_Affect,subscale,0.2645468115806579,0.4184057116508484,200
POM_Peace_of_Mind,subscale,0.2823769450187683,0.4403961598873138,200
BigFive_Extraversion,subscale,0.158211201429367,0.2731992304325104,200
BigFive_Agreeableness,subscale,-0.1535503715276718,0.01,200
BigFive_Conscientiousness,subscale,-0.2236980199813842,0.01,200
BigFive_Neuroticism,subscale,-0.0188912861049175,0.01,200
BigFive_Openness,subscale,-0.0874203294515609,0.01,200
SelfConst_Independent_self,subscale,0.4325897991657257,0.603926956653595,200
SelfConst_Interdependent_self,subscale,0.3067260384559631,0.4694573283195495,200
LifeSat_Life_Satisfaction,subscale,-0.5789161920547485,0.01,200
Lonely_Loneliness,subscale,0.257388710975647,0.4094019830226898,200
IRI,scale,0.4090099930763244,0.5805636644363403,200
PANAS,scale,0.007615415379405,0.0151157174259424,200
POM,scale,-0.1178247109055519,0.01,200
BigFive,scale,0.5418941974639893,0.7028941512107849,200
SelfConst,scale,0.2192833423614502,0.3596921861171722,200
LifeSat,scale,0.032600924372673,0.0631433203816413,200
Lonely,scale,-0.0419028885662555,0.01,200
