target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,0.7550637722015381,0.8604402542114258,200
IRI_Fantasy,subscale,0.6469882726669312,0.7856622934341431,200
IRI_Empathic_concern,subscale,0.6778268814086914,0.8079819083213806,200
IRI_Personal_distress,subscale,0.126557856798172,0.2246806174516677,200
PANAS_Positive_Affect,subscale,0.6159492135047913,0.7623373866081238,200
PANAS_Negative_Affect,subscale,0.5344257354736328,0.6965807676315308,200
POM_Peace_of_Mind,subscale,-0.0378629118204116,0.01,200
BigFive_Extraversion,subscale,0.5378180742263794,0.6994560360908508,200
BigFive_Agreeableness,subscale,0.607916533946991,0.7561542987823486,200
BigFive_Conscientiousness,subscale,0.1919145882129669,0.3220274150371551,200
BigFive_Neuroticism,subscale,0.1839069128036499,0.3106780052185058,200
BigFive_Openness,subscale,0.0041893091984093,0.01,200
SelfConst_Independent_self,subscale,0.673215389251709,0.8046966195106506,200
SelfConst_Interdependent_self,subscale,0.811404287815094,0.8958842754364014,200
LifeSat_Life_Satisfaction,subscale,0.3720787763595581,0.5423577427864075,200
Lonely_Loneliness,subscale,0.6626705527305603,0.7971158623695374,200
IRI,scale,0.8688952922821045,0.929849088191986,200
PANAS,scale,0.4031997919082641,0.5746862292289734,200
POM,scale,0.0557911433279514,0.1056859493255615,200
BigFive,scale,0.7602499723434448,0.8637977242469788,200
SelfConst,scale,0.8001900911331177,0.8890061974525452,200
LifeSat,scale,0.201635867357254,0.3356022834777832,200
Lonely,scale,0.6869091987609863,0.8143997192382812,200
